"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","141
001","23","3.205","26.1","26.1","17.4","21.7",".","4.3",".",".",".",".",".",".","4.3",".",".","."
"","141
002","57","3.009","19.3","21.1","22.8","22.8","10.5","3.5",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","Course Total","80","3.063","21.3","22.5","21.3","22.5","7.5","3.8",".",".",".",".",".",".","1.3",".",".","."
"Topics-Finite Mathematics","210
001","90","2.398","16.7","7.8","17.8","7.8","27.8","12.2","7.8",".",".",".",".",".",".","2.2",".","."
"","211
001","202","2.767","19.3","15.3","23.3","15.3","16.8","4.0","5.9",".",".",".",".",".",".",".",".","."
"","211
002","204","2.897","12.3","19.6","26.5","28.4","7.8","4.4","0.5",".",".",".",".",".","0.5",".",".","."
"Calculus","Course Total","406","2.832","15.8","17.5","24.9","21.9","12.3","4.2","3.2",".",".",".",".",".","0.2",".",".","."
"Calc/Intro-Differntl Equats","213
001","128","2.961","24.2","12.5","30.5","14.1","11.7","5.5","1.6",".",".",".",".",".",".",".",".","."
"","217
001","144","2.451","20.8","5.6","5.6","22.9","28.5","9.7","6.3",".",".",".",".",".",".",".",".","0.7"
"","217
002","170","2.494","14.1","5.9","28.2","5.9","31.8","9.4","4.7",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","Course Total","314","2.474","17.2","5.7","17.8","13.7","30.3","9.6","5.4",".",".",".",".",".",".",".",".","0.3"
"","221
001","215","2.838","29.8","13.5","14.9","15.8","13.0","4.7","7.4",".",".",".",".",".","0.5",".","0.5","."
"","221
002","176","2.783","25.0","15.3","17.6","16.5","11.9","5.1","8.0",".",".",".",".",".",".",".",".","0.6"
"Calculus&Analytic Geometry","Course Total","391","2.813","27.6","14.3","16.1","16.1","12.5","4.9","7.7",".",".",".",".",".","0.3",".","0.3","0.3"
"","222
001","193","3.148","37.3","14.0","20.7","13.5","9.3","2.1","3.1",".",".",".",".",".",".",".",".","."
"","222
002","241","2.562","18.7","8.3","26.1","7.9","22.0","10.4","6.6",".",".",".",".",".",".",".",".","."
"","003
222","207","2.867","15.9","15.9","26.1","20.3","17.4","1.9","1.9",".",".",".",".",".",".","0.5",".","."
"","222
004","170","2.806","14.1","17.6","24.7","20.0","17.6","2.9","2.9",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","811","2.830","21.5","13.6","24.5","14.9","16.9","4.7","3.8",".",".",".",".",".",".","0.1",".","."
"","234
001","231","2.740","22.9","9.1","28.6","6.1","17.7","6.9","6.1",".",".",".",".",".","2.6",".",".","."
"","234
002","167","2.358","9.6","10.2","21.0","20.4","18.6","9.6","10.2",".",".",".",".",".","0.6",".",".","."
"","234
003","146","2.521","17.8","6.8","21.9","6.2","30.1","10.3","4.8",".",".",".",".",".","1.4","0.7",".","."
"Calc--Functns of Variables","Course Total","544","2.563","17.5","8.8","24.4","10.5","21.3","8.6","7.0",".",".",".",".",".","1.7","0.2",".","."
"Intro to Discrete Mathematics","240
001","35","3.243","28.6","34.3","11.4","14.3","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"Topics in Calculus II","276
001","27","3.370","33.3","22.2","33.3","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Math","298
015","68","",".",".",".",".",".",".",".",".",".","98.5","1.5",".",".",".",".","."
"Intro to Math Statistics","310
001","9","2.444",".",".","44.4",".","55.6",".",".",".",".",".",".",".",".",".",".","."
"","319
001","117","3.248","53.8","6.8","17.1","6.8","6.0","5.1","4.3",".",".",".",".",".",".",".",".","."
"","002
319","94","3.210","60.6","6.4","7.4","3.2","8.5","5.3","7.4",".",".",".",".",".","1.1",".",".","."
