"Summary by Level","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Senior","6",".","",".","",".",".","",".","",".","",".","33.3","",".","66.7","",".","",".","",".",".",".","."
"Undergraduates","7",".","",".","",".",".","",".","",".","",".","28.6","",".","71.4","",".","",".","",".",".",".","."
"Special","2",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","360",".","",".","",".",".","",".","",".","",".","97.8","",".","1.4","",".","",".","",".",".",".","0.8"
"Prof Yr 2","1325
3.461","36.2","","23.5","34.0","","3.8","","0.7","",".","",".","0.9","",".","0.2","",".","",".","","0.5",".",".","0.2"
"Prof Yr 3","2",".","",".","",".",".","",".","",".","",".","50.0","",".","50.0","",".","",".","",".",".",".","."
"Prof Yr 4","2",".","",".","",".",".","",".","",".","",".","50.0","",".","50.0","",".","",".","",".",".",".","."
"Professionals","1689
3.461","28.4","","18.4","","26.6","3.0","","0.5","",".","",".","21.7","",".","0.6","",".","",".","","0.4",".",".","0.4"
