"","890
002","","5","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"","890
021","","1","***","","","","","","","","","","","","",".",".",".","",".",".",".","."
"Individual Research Thesis","Course Total","","6","",".",".",".",".","",".","",".","",".","100.0",".",".",".","",".",".",".",".","."
"Seminar-Drama","920
001","","7","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".","",".",".",".","."
"GREEK
428","Dept. Total","","68","3.735","57.4","14.7","8.8","2.9","",".","",".","",".","13.2",".",".",".","",".","1.5",".","1.5","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"428
GREEK","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","3.000",".",".","100.0",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Sophomore","","","4","3.500","50.0",".","50.0",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Junior","","","6","3.841","66.7","33.3",".",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Senior","","","25","3.637","52.0","20.0","8.0","8.0","",".","",".","",".","8.0",".",".",".","",".","4.0",".",".","."
"Undergraduates","","","36","3.635","52.8","19.4","13.9","5.6","",".","",".","",".","5.6",".",".",".","",".","2.8",".",".","."
"Special","","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".","",".",".",".",".","."
"Graduate","","","31","3.891","61.3","9.7","3.2",".","",".","",".","",".","22.6",".",".",".","",".",".",".","3.2","."
"","Dept. Total","","68","3.735","57.4","14.7","8.8","2.9","",".","",".","",".","13.2",".",".",".","",".","1.5",".","1.5","."
