"Social Studies Topics in EAS","301
002","","50","3.977","92.0","4.0",".",".","",".",".","",".","","2.0",".","",".",".","",".","2.0",".",".","."
"Senior Thesis","691
001","","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Senior Thesis","692
001","","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Directed Study","699
001","","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"E A STDS
298","Dept. Total","","86","3.856","80.2","8.1","4.7","2.3","",".","",".","",".","1.2","",".",".","",".","1.2","1.2","1.2",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"298
E A STDS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","","6","3.912","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","","17","3.932","82.4","11.8",".",".","",".","",".","",".",".","",".",".","",".",".","5.9",".",".","."
"Senior","","","60","3.821","80.0","6.7","6.7","3.3","",".","",".","",".",".","",".",".","",".","1.7",".","1.7",".","."
"Undergraduates","","","84","3.853","81.0","8.3","4.8","2.4","",".","",".","",".",".","",".",".","",".","1.2","1.2","1.2",".","."
"Special","","","1","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","","86","3.856","80.2","8.1","4.7","2.3","",".","",".","",".","1.2","",".",".","",".","1.2","1.2","1.2",".","."
