"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","136","3.224","26.5","33.8","16.9","11.8","6.6",".","2.9","0.7",".",".",".",".",".","0.7",".","."
"","120","001","78","2.795","17.9","16.7","21.8","11.5","25.6","3.8","2.6",".",".",".",".",".",".",".",".","."
"","120","002","129","2.837","21.7","18.6","20.2","10.1","14.7","10.1","2.3","1.6",".",".",".",".",".","0.8",".","."
"Global Phys Environments","","Course Total","207","2.821","20.3","17.9","20.8","10.6","18.8","7.7","2.4","1.0",".",".",".",".",".","0.5",".","."
"Physical Systems of Envr","127","001","30","2.897","16.7","13.3","36.7","6.7","16.7","6.7",".",".",".",".",".",".","3.3",".",".","."
"Resources and People","139","001","40","3.263","42.5","20.0","15.0","5.0","2.5","7.5","2.5","5.0",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","92","3.261","23.9","38.0","14.1","9.8","7.6","1.1","1.1","4.3",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230","001","17","3.088","35.3","29.4","17.6",".","5.9",".","11.8",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","16","2.906","6.3","43.8","12.5","25.0","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","16","3.281","25.0","25.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","52","3.542","26.9","57.7","5.8",".",".",".","1.9","5.8",".",".",".",".",".","1.9",".","."
"Geog,Politics&Territorialty","318","001","50","3.388","30.0","34.0","20.0","10.0","4.0",".",".","2.0",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","29","3.278","31.0","17.2","27.6","6.9","10.3",".",".",".",".",".",".",".",".","6.9",".","."
"","339","001","48","2.823","16.7","10.4","37.5","8.3","20.8","4.2","2.1",".",".",".",".",".",".",".",".","."
"","339","002","39","2.462","10.3","7.7","20.5","12.8","41.0","2.6","5.1",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","87","2.661","13.8","9.2","29.9","10.3","29.9","3.4","3.4",".",".",".",".",".",".",".",".","."
"Geography of Wisconsin","342","001","65","3.367","40.0","12.3","26.2","3.1","10.8",".",".","3.1",".",".",".",".",".",".","4.6","."
"Europe","349","001","193","3.438","47.7","19.7","19.2","6.2","3.1","3.1","0.5","0.5",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","39","2.756","20.5","12.8","23.1","15.4","17.9","5.1","5.1",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","35","2.809","5.7","17.1","31.4","25.7","14.3","2.9",".","2.9",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","39","3.324","48.7","12.8","15.4","7.7","5.1",".","5.1","2.6",".",".",".",".",".","2.6",".","."
"Introduction to Geocomputing","378","001","18","3.559","55.6","16.7","11.1",".","11.1",".",".",".",".",".",".",".",".","5.6",".","."
"Glacial&Pleistocene Geology","420","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Wildlife & Landscapes","434","001","15","3.333","26.7","20.0","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Space&Place-A Geog Expernce","501","001","7","3.571","57.1","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"GIS Applications","578","001","28","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","602","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","6","",".",".",".",".",".",".",".",".",".","66.7",".",".",".",".",".","."
"Special Topics in Geography","675","001","15","3.400","20.0","53.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","676","001","19","3.265","26.3","21.1","21.1","15.8","5.3",".",".","5.3",".",".",".",".",".",".","5.3","."
"","676","002","6","3.500","50.0",".","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"Special Topics in Geography","","Course Total","25","3.318","32.0","16.0","20.0","16.0","4.0",".",".","4.0",".",".",".",".","4.0",".","4.0","."
"","682","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 214 of 403",""
