"L&S","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"ENGLISH
350","Dept. Total","4722","3.496","39.9","24.6","14.2","4.1","1.9","0.6","1.1","1.2","",".","8.9","0.4","2.1","0.4","0.1","0.4","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","731","3.483","33.2","27.6","14.4","4.5","0.8","1.0","0.7",".","",".","16.8","0.8",".","0.1",".",".","."
"Sophomore","","1196","3.560","43.6","28.3","14.5","3.8","1.5","0.3","0.5",".","",".","6.9","0.5",".","0.1",".",".","0.2"
"Junior","","925","3.350","35.1","28.1","18.7","6.6","2.8","1.2","2.3",".","",".","3.8","0.3",".","0.5","0.4","0.1","."
"Senior","","1247","3.474","43.4","25.1","16.1","3.8","3.0","0.6","1.4","1.0","",".","4.7","0.2","0.2","0.2",".","0.1","."
"Undergraduates","","4099","3.471","39.8","27.2","15.9","4.6","2.1","0.7","1.2","0.3","",".","7.3","0.4","0.1","0.2","0.1","0.0","0.0"
"Special","","138","3.452","20.3","9.4","8.7","2.9","1.4",".","0.7","10.1","",".","32.6","0.7",".","1.4",".","10.1","1.4"
"Graduate","","481","3.894","46.8","7.7","1.5","0.2",".",".",".","6.4","",".","15.4","0.2","20.0","1.5",".","0.4","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","","3","",".",".",".",".",".",".",".",".","",".","100.0",".",".",".",".",".","."
"Professionals","","4","4.000","25.0",".",".",".",".",".",".",".","",".","75.0",".",".",".",".",".","."
"","Dept. Total","4722","3.496","39.9","24.6","14.2","4.1","1.9","0.6","1.1","1.2","",".","8.9","0.4","2.1","0.4","0.1","0.4","0.1"
