"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"","101
001","","12","3.375","75.0","8.3",".",".",".","8.3","8.3",".",".",".",".",".",".",".",".","."
"","101
002","","18","3.559","66.7","5.6","11.1",".","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"","101
003","","19","3.342","52.6","26.3","5.3",".","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"","101
004","","15","3.643","53.3","13.3","26.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"First Semester German","Course Total","","64","3.476","60.9","14.1","10.9",".","3.1","4.7","3.1","3.1",".",".",".",".",".",".",".","."
"","102
001","","19","3.447","52.6","10.5","26.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","002
102","","16","3.219","43.8","12.5","18.8","6.3","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","102
003","","20","3.711","70.0","5.0","15.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","102
004","","16","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","","18","3.235","38.9","22.2","16.7",".","11.1",".","5.6","5.6",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","","89","3.454","56.2","10.1","18.0","2.2","7.9","2.2","1.1","2.2",".",".",".",".",".",".",".","."
"","112
001","","13","3.346","46.2",".","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Dutch","Course Total","","16","3.469","56.3",".","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","","22","3.432","59.1","22.7","4.5",".","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"","203
002","","22","3.636","59.1","13.6","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","","44","3.534","59.1","18.2","13.6","2.3","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"","204
001","","14","3.286","21.4","28.6","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","23","3.500","52.2","21.7","13.0","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"","204
003","","18","3.444","33.3","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","","55","3.427","38.2","30.9","20.0","3.6","5.5","1.8",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Dutch Life & Culture","245
001","","23","3.795","56.5","39.1",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"","249
001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
002","","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","249
003","","19","3.632","52.6","31.6","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","","49","3.714","61.2","24.5","12.2",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","258
001","","15","3.214","46.7","26.7","6.7",".",".",".","13.3","6.7",".",".",".",".",".",".",".","."
"","258
002","","20","3.425","40.0","30.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","258
003","","19","3.289","36.8","26.3","5.3","21.1","10.5",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","","54","3.321","40.7","27.8","9.3","9.3","7.4",".","3.7","1.9",".",".",".",".",".",".",".","."
"","262
001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
003","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Intermediate German-Writing","Course Total","","23","3.864","73.9","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","4.3"
"German Immigration Experience","271
001","","51","3.138","7.8","35.3","27.5","17.6","3.9",".",".","3.9",".",".",".",".","2.0",".",".","2.0"
"Nazi Culture","272
001","","92","3.159","27.2","18.5","37.0","2.2","8.7","5.4",".","1.1",".",".",".",".",".",".",".","."
"Lit des 20. & 21. Jahrhunderts","305
001","","17","3.454","52.9","23.5","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","5.9"
"","312
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","312
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem Dutch-Grad Stdts","Course Total","","2","***","","","","","","","","","","","","","","","",""
"4th Sem Dutch-Grad Stdts","314
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Dutch Literature","325
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
