"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","","38","3.118","21.1","34.2","21.1","15.8",".","5.3","2.6",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","","160","2.997","28.8","16.3","21.3","15.6","11.3","2.5","4.4",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","42","3.244","26.2","19.0","40.5","4.8","4.8","2.4",".","2.4",".",".",".",".",".",".",".","."
"","322
001","","12","3.707","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","20","3.450","45.0","20.0","30.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","322
003","","20","3.734","60.0","20.0","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","322
004","","14","3.708","42.9","42.9","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","322
005","","19","3.465","42.1","26.3","5.3","15.8","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Second Semester Arabic","Course Total","","85","3.597","49.4","25.9","15.3","3.5","1.2","1.2",".",".",".",".",".",".","3.5",".",".","."
"","324
001","","11","3.100","9.1","27.3","36.4","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","324
002","","14","3.115","21.4","14.3","21.4","35.7",".",".",".","7.1",".",".",".",".",".",".",".","."
"","324
003","","18","3.265","22.2","22.2","33.3","16.7",".",".",".","5.6",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","Course Total","","43","3.175","18.6","20.9","30.2","20.9","2.3",".",".","7.0",".",".",".",".",".",".",".","."
"","325
001","","12","3.909","75.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","325
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquial Arabic","Course Total","","23","3.955","87.0","8.7",".",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"Colloquial Arabic","326
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
001","","11","3.434","18.2","36.4","9.1","9.1",".",".",".","27.3",".",".",".",".",".",".",".","."
"","332
002","","7","3.294","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Swahili","Course Total","","18","3.368","22.2","33.3","16.7","5.6","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang-South Africa","336
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang-S Africa: Zulu","338
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372
002","","18","3.750","72.2","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Yoruba","374
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang of West Africa","392
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Sem-Lang of West Africa","394
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory-African Literature","402
001","","17","3.117","17.6","29.4","29.4","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","446
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Oral Tradition&Written Word","471
001","","11","3.421","45.5","18.2","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Sixth Semester Yoruba","476
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"6th Sem, Lang of W Africa","498
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Struct&Analysis-Afric Langs","501
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teach Africn Lang:Thry&Prac","575
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","669
007","","15","3.367","33.3","20.0","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901
001","","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Seminar-African Linguistics","903
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 155 of 403",""
