"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","145","3.571","47.6","27.6","15.9",".","4.8","0.7",".","3.4",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","17","3.469","47.1","17.6","11.8","11.8","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"The Symphony","106
001","73","3.138","21.9","26.0","24.7","11.0","8.2",".","2.7","5.5",".",".",".",".",".",".",".","."
"Elements of Music","111
001","21","3.643","47.6","38.1","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","113
001","626","3.921","93.0","3.4","1.9",".","0.3","0.2","0.8","0.3",".",".",".",".",".",".",".","0.2"
"","113
002","95","4.000","1.1",".",".",".",".",".",".","98.9",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","721","3.921","80.9","2.9","1.7",".","0.3","0.1","0.7","13.3",".",".",".",".",".",".",".","0.1"
"","122
001","26","2.808","15.4","7.7","34.6","30.8",".","11.5",".",".",".",".",".",".",".",".",".","."
"","122
002","35","3.171","25.7","20.0","34.3","14.3",".","5.7",".",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","61","3.016","21.3","14.8","34.4","21.3",".","8.2",".",".",".",".",".",".",".",".",".","."
"","151
001","35","3.779","60.0","31.4","5.7",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","002
151","31","3.565","54.8","32.3","3.2","3.2","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"","151
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","67","3.674","56.7","32.8","4.5","1.5","1.5",".","1.5","1.5",".",".",".",".",".",".",".","."
"","172
101","13","3.269","7.7","53.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","13","3.192","15.4","30.8","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","172
103","12","3.292","25.0","25.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","104
172","11","3.091","9.1","45.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"","172
105","12","3.083","33.3","8.3","16.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","61","3.189","18.0","32.8","26.2","14.8","8.2",".",".",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","300","3.708","57.3","18.7","8.7","3.7","1.3",".",".","6.3",".",".",".",".",".",".","4.0","."
"Survey-Hist Western Music","212
001","44","3.360","47.7","6.8","25.0","4.5","13.6",".",".","2.3",".",".",".",".",".",".",".","."
"","222
001","15","3.367","26.7","60.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","222
002","15","3.643","40.0","40.0","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Musica Practica 4","Course Total","30","3.500","33.3","50.0","10.0",".",".",".","3.3",".",".",".",".",".","3.3",".",".","."
"","254
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","254
002","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","262
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","34","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"","264
002","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","51","3.980","96.1",".","2.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","265
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","4","***","","","","","","","","","","","","","","","",""
"Black Music Ensemble","266
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","267
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
