"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"HUMAN ONCOLOGY","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","",""
"510
Topics in Oncology","001","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","015","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","036","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","156","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","157","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","158","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","159","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","160","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","12","3.920","83.3",".","8.3",".","",".","",".","",".","",".",".",".",".",".",".",".","8.3","."
"922","001","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","003","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","005","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","007","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","008","2","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","6","4.000","100.0",".",".",".","",".","",".","",".","",".",".",".",".",".",".",".",".","."
"990
Rsch in Human Cancer Bio","022","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","22","3.913","72.7","4.5","4.5",".","",".","",".","",".","",".",".",".",".","13.6",".",".","4.5","."
