"","990
079","3","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","990
081","2","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Research","Course Total","14","",".",".",".",".",".",".","",".","100.0",".",".",".","",".",".",".",".","."
"Advanced Independent Study","999
012","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"S&A PHM
732","Dept. Total","482","3.250","33.4","15.4","30.9","6.6","8.5","0.4","",".","2.9",".",".",".","",".","1.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Sophomore","","5","3.636","80.0",".",".",".","20.0",".","",".",".",".",".",".","",".",".",".",".","."
"Junior","","5","2.818","40.0",".",".","20.0","20.0","20.0","",".",".",".",".",".","",".",".",".",".","."
"Senior","","11","3.957","90.9","9.1",".",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Undergraduates","","22","3.617","77.3","4.5",".","4.5","9.1","4.5","",".",".",".",".",".","",".",".",".",".","."
"Graduate","","37","4.000","37.8",".",".",".",".",".","",".","37.8",".",".",".","",".","24.3",".",".","."
"Prof Yr 1","","138","2.963","18.1","1.4","58.7","0.7","20.3","0.7","",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 2","","135","2.993","6.7","23.7","39.3","22.2","8.1",".","",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 3","","149","3.763","63.8","26.2","10.1",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".","",".",".",".",".","."
"Professionals","","423","3.218","30.7","17.3","35.2","7.3","9.2","0.2","",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","482","3.250","33.4","15.4","30.9","6.6","8.5","0.4","",".","2.9",".",".",".","",".","1.9",".",".","."
