"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Pre-Trial Advocacy","849
001","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","850
002","","23","0.739","4.3",".","13.0",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","850
003","","40","1.658","7.5",".","37.5",".","7.5",".",".","5.0",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","","63","1.311","6.3",".","28.6",".","7.9",".",".","3.2",".",".",".",".",".",".",".","."
"","852
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
003","","13","",".",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","7.7"
"","852
006","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","39","",".",".",".",".",".",".",".","97.4",".",".",".",".",".",".",".","2.6"
"","854
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
006","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
012","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
013","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"","854
015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
016","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
019","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
020","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","","62","4.000","1.6",".",".",".",".",".",".","80.6",".",".",".",".",".",".",".","17.7"
"Advanced Criminal Procedure","860
001","","16","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","25.0"
"Institutionalized Persons","862
001","","34","",".",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","23.5"
"International Tax","870
001","","25","3.063","36.0","36.0","8.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Wisconsin Journal of Law","896
001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","904
001","","18","1.567","16.7","5.6","11.1",".","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"","004
904","","54","1.286","11.1",".","24.1",".",".",".","1.9","9.3",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","","72","1.352","12.5","1.4","20.8",".","1.4",".","1.4","11.1",".",".",".",".",".",".",".","."
"Probs-Pro Responsblty Smr","907
001","","6","1.667","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","915
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","918
001","","6","1.400",".","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","918
003","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","Course Total","","17","1.400",".","11.8",".",".",".",".",".","64.7",".",".",".",".","5.9",".",".","."
"Problems- Land Law Seminar","928
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Torts II","936
001","","41","1.244","19.5",".","7.3",".","12.2",".",".",".",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
003","","13","1.514","15.4",".","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
002","","10","1.600","20.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","940
006","","12","1.545","8.3",".","25.0",".","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"","940
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
009","","15","0.800","6.7",".","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","940
014","","8","1.375","25.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","940
015","","11","1.273","9.1",".","27.3",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","940
017","","9","1.333","11.1",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","940
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 329 of 403",""
