"SLAVIC (SLAVIC LANGUAGES)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","",""
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.828","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
College Teaching of Russian","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Smr-Pre-Soviet 20C Lit","001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"991","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","","15","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
