"NEUROSCIENCE TRAINING PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"500
Undergrad Neurobiology Seminar","001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","56","3.463","46.4","14.3","26.8",".","8.9",".",".",".",".",".",".",".",".",".","3.6","."
"611
Systems Neuroscience","001","","19","3.324","26.3","31.6","21.1","5.3",".","5.3",".","10.5",".",".",".",".",".",".",".","."
"660
Neuroscience & Public Policy","001","","7","3.563","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","010","","9","3.650","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","12","3.696","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","30","3.929","90.0","3.3",".",".","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","9","3.806","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Research","Course Total","","91","3.945","91.2","5.5","1.1",".","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"765
Developmental Neuroscience","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Neurosci Smr:Current Topics","001","","64","3.700","21.9",".","9.4",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
