"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","254","3.079","37.0","9.8","16.1","17.7","13.0","5.5","0.4",".",".",".",".",".",".",".","0.4","."
"101
Weather and Climate","001","","89","3.068","30.3","11.2","23.6","18.0","11.2","4.5",".",".",".",".",".",".",".","1.1",".","."
"105
Survey of Oceanography","001","","43","3.105","27.9","11.6","44.2","4.7","7.0",".","4.7",".",".",".",".",".",".",".",".","."
"132
Earth Water:Nat Sci&Hum Use","001","","112","3.321","42.9","28.6","8.9","10.7","3.6",".","5.4",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","27","3.333","37.0","18.5","14.8","11.1","3.7","3.7",".","11.1",".",".",".",".",".",".",".","."
"311
Dynamic-Atmosphere&Ocean II","001","","13","2.769","15.4","23.1","23.1","23.1",".","7.7","7.7",".",".",".",".",".",".",".",".","."
"340
Physics-Atmosphere&Ocean II","001","","13","3.077","15.4","23.1","46.2","7.7",".","7.7",".",".",".",".",".",".",".",".",".","."
"401
Topics in Meteorology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"405
AOS Senior Capstone Seminar","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"441
Radar & Satellite Meteorology","001","","15","3.107","20.0","33.3","26.7",".","6.7",".","6.7","6.7",".",".",".",".",".",".",".","."
"453
Syn Lab II-Mesoscale Meteor","001","","9","3.750","55.6","22.2","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"509
Teachr Wkshp-Earth Sys Sci-Web","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"520
Bioclimatology","001","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"528
Past Climates&Climatic Chg","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Geophys Fluid Dynamics II","001","","17","3.344","35.3","23.5","11.8","17.6","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"638
Atmospheric Chemistry","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Radiatn in Atmosphere&Ocean","001","","11","3.429","9.1","36.4","18.2",".",".",".",".",".",".",".",".",".","36.4",".",".","."
"660
Intro-Physical Oceanography","001","","14","3.357","35.7","21.4","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","013","","29","3.897","96.6",".",".",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","31","3.903","96.8",".",".",".",".","3.2",".",".",".",".",".",".",".",".",".","."
"801
Topics-Theoretical Meteor","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"980
Earth System Sci Seminar","001","","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".","14.3","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","41","",".",".",".",".",".",".",".","87.8",".",".",".","12.2",".",".",".","."
