"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","193","2.819","26.4","8.3","34.2","3.1","14.5","7.8","5.7",".",".",".",".",".",".",".",".","."
"","201
002","160","2.560","21.9","4.4","28.8","3.8","22.5","9.4","8.1",".",".",".",".",".","1.3",".",".","."
"Statics","Course Total","353","2.702","24.4","6.5","31.7","3.4","18.1","8.5","6.8",".",".",".",".",".","0.6",".",".","."
"Dynamics","202
001","91","2.588","4.4","11.0","24.2","36.3","17.6","4.4","2.2",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","303
001","98","2.760","21.4","14.3","22.4","21.4","5.1","9.2","6.1",".",".",".",".",".",".",".",".","."
"","307
001","8","3.125","25.0","12.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
002","10","3.150",".","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","7","3.000",".","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","307
006","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","8","3.063","12.5","12.5","62.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","307
009","8","2.875","12.5","25.0","25.0",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"","307
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","012
307","7","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","85","3.212","20.0","25.9","38.8","7.1","8.2",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","6","3.000","16.7","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","29","3.310","37.9","13.8","37.9","6.9",".",".","3.4",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
001","28","3.054","28.6","10.7","32.1","14.3","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"Aerodynamics Lab","522
001","17","3.559","47.1","17.6","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control","523
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","37","3.041","27.0","24.3","16.2","16.2","10.8",".","5.4",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","34","3.221","29.4","26.5","23.5","11.8","2.9","5.9",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","30","3.533","50.0","23.3","13.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"","599
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
025","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","11","3.864","72.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Special Topics: Engr Mech","601
001","14","3.923","85.7",".","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Continua","622
001","15","3.250","26.7","20.0","33.3",".","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"Satellite Dynamics","642
001","30","2.583","3.3","10.0","40.0","13.3","23.3","10.0",".",".",".",".",".",".",".",".",".","."
"","690
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research","Course Total","2","***","","","","","","","","","","","","","","","",""
