"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","140
002","","22","3.429","45.5","22.7","18.2","4.5",".",".","4.5",".",".",".",".",".",".","4.5",".","."
"","140
003","","21","3.632","47.6","28.6","9.5",".","4.8",".",".","9.5",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","43","3.525","46.5","25.6","14.0","2.3","2.3",".","2.3","4.7",".",".",".",".",".","2.3",".","."
"Ice Skating II","145
001","","19","3.857","52.6","21.1",".",".",".",".",".","21.1",".",".",".",".",".","5.3",".","."
"Fitness Walking","149
002","","15","3.375","20.0","33.3","13.3","13.3",".",".",".","13.3",".",".",".",".","6.7",".",".","."
"Badminton I","155
001","","19","3.393","5.3","47.4","21.1",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"","157
001","","26","3.868","57.7","11.5","3.8",".",".",".",".","23.1",".",".",".",".","3.8",".",".","."
"","157
002","","25","3.714","52.0","20.0","8.0","4.0",".",".",".","16.0",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","","51","3.788","54.9","15.7","5.9","2.0",".",".",".","19.6",".",".",".",".","2.0",".",".","."
"","162
001","","21","3.625","28.6","19.0","4.8","4.8",".",".",".","42.9",".",".",".",".",".",".",".","."
"","162
002","","17","3.125","11.8","11.8","35.3","5.9","5.9",".",".","29.4",".",".",".",".",".",".",".","."
"","162
003","","17","3.200","5.9","11.8","5.9",".","5.9",".",".","70.6",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","55","3.345","16.4","14.5","14.5","3.6","3.6",".",".","47.3",".",".",".",".",".",".",".","."
"","163
001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","163
002","","22","3.950","81.8","9.1",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","38","3.861","68.4","26.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Basketball I","170
001","","30","3.607","46.7","40.0","3.3",".",".",".","3.3","6.7",".",".",".",".",".",".",".","."
"","175
001","","25","3.875","72.0","24.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","175
002","","31","3.946","80.6","9.7",".",".",".",".",".","9.7",".",".",".",".",".",".",".","."
"","175
003","","33","3.938","84.8","12.1",".",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","89","3.923","79.8","14.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Team Handball I","177
001","","19","3.806","68.4","21.1",".","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"Intermediate Swimming","201
001","","19","3.969","78.9","5.3",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","211
001","","16","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","211
002","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","32","3.950","84.4","9.4",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","35","3.227","5.7","5.7","17.1","2.9",".",".",".","45.7",".",".",".",".","22.9",".",".","."
"Golf II","238
002","","16","3.708","31.3","43.8",".",".",".",".",".","18.8",".",".",".",".","6.3",".",".","."
"Fencing II","257
001","","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","262
001","","22","3.676","50.0","9.1","13.6","4.5",".",".",".","22.7",".",".",".",".",".",".",".","."
"","262
002","","15","3.563","13.3","33.3","6.7",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"","003
262","","16","3.300","12.5",".","12.5","6.3",".",".",".","68.8",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","53","3.583","28.3","13.2","11.3","3.8",".",".",".","43.4",".",".",".",".",".",".",".","."
"Basketball II","270
001","","26","3.913","73.1","15.4",".",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"","275
001","","35","3.924","80.0","14.3",".",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"","275
002","","21","3.900","76.2","19.0",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","56","3.915","78.6","16.1",".",".",".",".",".","5.4",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bicycling","295
001","","19","3.618","47.4","26.3","10.5",".","5.3",".",".","5.3",".",".",".",".",".",".",".","5.3"
"","300
001","","14","3.731","64.3","14.3","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"","300
003","","23","4.000","87.0",".",".",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"","300
005","","11","3.889","63.6","18.2",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Workshop-Physical Activity","Course Total","","48","3.893","75.0","8.3","2.1","2.1",".",".",".","12.5",".",".",".",".",".",".",".","."
