"MED","","","","","","","","","","","","","","","","","","","","",""
"BIOSTATISTICS & MED INFORM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Trials I","542","002","","16","3.643","43.8","25.0","18.8",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Pract-Clin Trial Data Analysis","546","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","9","3.625","33.3","44.4","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","699","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","14","3.690","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Advanced Bioinformatics","776","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"B M I
210","","Dept. Total","","41","3.720","53.7","22.0","9.8",".",".",".",".","7.3",".",".",".",".","7.3",".",".","."
