"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","35","4.000","97.1",".",".",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"Ensemble-Guitar","270
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
101","8","2.813","12.5","37.5","25.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","272
102","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
103","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
104","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","30","3.400","40.0","33.3","16.7",".","6.7",".","3.3",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Black Music(1920-Pres): Sax","311
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
001","112","3.582","58.0","17.0","10.7","1.8","1.8","0.9","2.7","7.1",".",".",".",".",".",".",".","."
"","319
305","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Music & Ethnicity-US","Course Total","113","3.586","58.4","16.8","10.6","1.8","1.8","0.9","2.7","7.1",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Pedagogy","340
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","346
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Concepts of Music","351
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Non-Western Music Performnc","361
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mus Cultr: Afr, Eur, Amers","400
001","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","53","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","23","3.696","65.2","8.7","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","21","3.357","42.9","9.5","33.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Varsity Band","42
001","260","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","107","3.972","98.1",".",".",".",".","0.9",".","0.9",".",".",".",".",".",".",".","."
"","43
002","116","3.983","95.7","3.4",".",".",".",".",".","0.9",".",".",".",".",".",".",".","."
"","43
003","89","3.983","98.9",".",".","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","312","3.979","97.4","1.3",".","0.3",".","0.3",".","0.6",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","497
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
005","22","3.795","77.3","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 264 of 403",""
