"","890
003","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
014","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","890
042","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individual Research Thesis","Course Total","4","***","","","","","","","","","","","","","","","","","","","","",""
"LATIN
524","Dept. Total","129","3.574","56.6","14.7","14.7","7.8","",".","0.8","0.8","4.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","3.188","25.0","25.0","12.5","37.5","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","27","3.542","63.0","11.1","14.8","7.4","",".",".","3.7",".","",".",".","",".","",".","",".",".",".","."
"Junior","","26","3.520","50.0","19.2","19.2","11.5","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","43","3.585","55.8","16.3","18.6","4.7","",".","2.3",".","2.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","104","3.524","53.8","16.3","17.3","9.6","",".","1.0","1.0","1.0","",".",".","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","24","3.881","66.7","8.3","4.2",".","",".",".",".","20.8","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","129","3.574","56.6","14.7","14.7","7.8","",".","0.8","0.8","4.7","",".",".","",".","",".","",".",".",".","."
