"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Divides&Differences-Multicultr","202
001","","156","3.405","34.6","31.4","19.2","6.4","4.5","0.6","0.6","2.6",".",".",".",".",".",".",".","."
"Foundatns of Reference Service","451
001","","40","3.850","77.5","15.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","517
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","517
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Health Information","Course Total","","14","4.000","78.6",".",".",".",".",".",".",".",".",".",".",".",".",".","21.4","."
"","551
001","","26","3.788","57.7","42.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","","29","3.839","65.5","31.0",".",".",".",".",".",".",".",".",".",".",".",".","3.4","."
"Organization of Information","Course Total","","55","3.815","61.8","36.4",".",".",".",".",".",".",".",".",".",".",".",".","1.8","."
"Health Information Systems","617
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","620
001","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"","631
002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Young Adult Literature","Course Total","","28","3.944","89.3","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"Reference & Info Service","635
001","","26","3.885","92.3",".","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Interests of Adults","642
001","","25","3.800","68.0","24.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","10","3.300","10.0","60.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","24","3.458","29.2","41.7","25.0",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651
001","","29","3.707","51.7","44.8",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Document Structures & Metadata","652
001","","24","3.848","70.8","20.8","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Government Info Sources","653
001","","15","3.821","73.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","654
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Services Management","Course Total","","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655
002","","13","3.708","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"","655
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Collection Management","Course Total","","31","3.817","67.7","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"Information Ethics and Policy","661
001","","7","3.571","85.7",".",".",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Cyberlaw","663
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","710
001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
002","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"","712
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Public Library","Course Total","","26","3.780","61.5","26.9","7.7",".",".",".",".",".",".",".",".",".",".",".","3.8","."
