"INTEGRATED LIBERAL STUDIES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","",""
"","157
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
006","","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","157
007","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
008","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
010","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
011","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","","110","",".",".",".",".",".",".",".",".",".","99.1","0.9",".",".",".",".","."
"","199
060","","21","3.400","47.6","19.0","14.3","9.5",".",".","4.8",".",".",".",".",".","4.8",".",".","."
"","199
061","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
062","","10","3.227","50.0","30.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","37","3.422","56.8","18.9","8.1","8.1",".",".","5.4",".",".",".",".",".","2.7",".",".","."
"Critical Thinkng & Expressn","200
001","","66","3.833","87.9","1.5","7.6","1.5",".",".","1.5",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Philos I","201
001","","62","2.895","22.6","25.8","19.4","11.3","9.7","3.2","8.1",".",".",".",".",".",".",".",".","."
"W Culture:Sci,Tech,Phil II","202
001","","80","3.377","30.0","31.3","25.0","6.3","2.5",".","1.3","2.5",".",".",".",".",".","1.3",".","."
"West Cult: Lit&The Arts II","204
001","","82","3.772","67.1","23.2","4.9","2.4","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"W Cul:Pol,Econ&Soc Thght II","206
001","","66","3.182","18.2","33.3","24.2","15.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Hist of Western Culture II","208
001","","17","3.853","82.4","11.8",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","","12","3.250","16.7","41.7","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Phy Sciences","251
001","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in ILS","275
001","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","299
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
020","","6","3.875","50.0","16.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","299
054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.921","70.0","10.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Peer Mentor Seminar","357
001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"","371
001","","19","3.667","57.9","21.1","10.5",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","371
002","","14","3.308","28.6","21.4","21.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1","."
"Interdis in Arts & Humanities","Course Total","","33","3.516","45.5","21.2","15.2","9.1","3.0",".",".","3.0",".",".",".",".",".",".","3.0","."
"","400
001","","21","4.000","90.5",".",".",".",".",".",".",".",".",".",".",".","9.5",".",".","."
"","400
002","","13","3.808","84.6",".","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Integration Seminar","Course Total","","34","3.922","88.2",".","2.9","2.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Global Culture Capstone Smr","401
001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
