"","440
002","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Topics in LACIS","Course Total","","9","3.385","88.9",".",".",".","11.1","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","682
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","699
001","","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LACIS
525","Dept. Total","","31","2.989","45.2","19.4","9.7","9.7","6.5","",".","6.5","",".","",".",".","",".","",".","3.2",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"525
LACIS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","4","3.231","50.0","25.0",".",".","25.0","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","","4","3.375","25.0","50.0",".","25.0",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","6","1.778","33.3",".","33.3",".",".","",".","33.3","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","10","3.158","60.0",".","10.0","20.0",".","",".",".","",".","",".",".","",".","",".","10.0",".",".","."
"Undergraduates","","","24","2.848","45.8","12.5","12.5","12.5","4.2","",".","8.3","",".","",".",".","",".","",".","4.2",".",".","."
"Graduate","","","7","3.391","42.9","42.9",".",".","14.3","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","31","2.989","45.2","19.4","9.7","9.7","6.5","",".","6.5","",".","",".",".","",".","",".","3.2",".",".","."
