"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","291","2.314","10.3","6.5","25.4","9.6","26.8","13.4","7.9",".",".",".",".",".",".",".",".","."
"","101
002","281","2.385","11.4","7.1","26.0","10.0","24.6","13.5","6.4",".",".",".",".",".","0.4","0.4",".","0.4"
"Animal Biology","Course Total","572","2.349","10.8","6.8","25.7","9.8","25.7","13.5","7.2",".",".",".",".",".","0.2","0.2",".","0.2"
"","102
001","25","3.360","16.0","48.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
102","18","2.861","16.7","16.7","27.8","22.2","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","102
003","20","3.225","10.0","40.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","21","2.952","9.5","23.8","28.6","23.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
005","25","3.360","24.0","32.0","36.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","23","3.348","21.7","34.8","39.1",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","102
007","20","3.350","30.0","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","26","3.192","19.2","30.8","30.8","15.4",".","3.8",".",".",".",".",".",".",".",".",".","."
"","102
009","26","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","18","3.306","22.2","27.8","44.4",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","011
102","19","3.079","5.3","42.1","31.6","5.3","15.8",".",".",".",".",".",".",".",".",".",".","."
"","102
012","20","3.350","35.0","20.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","102
013","18","3.556","38.9","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
014","22","3.273","27.3","40.9","13.6","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","102
015","20","3.289","15.0","35.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","5.0"
"","102
016","18","3.417","22.2","55.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","017
102","19","3.421","26.3","36.8","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
018","25","3.100","16.0","32.0","28.0","4.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","019
102","19","3.000","26.3","15.8","26.3","5.3","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","402","3.266","22.1","32.6","30.8","7.0","6.2","0.7","0.2",".",".",".",".",".",".",".",".","0.2"
"Introductory Biology","151
001","139","2.729","12.9","2.9","41.7","8.6","23.7","5.0","0.7",".",".",".",".",".","4.3",".",".","."
"","152
001","122","2.926","14.8","8.2","52.5","6.6","13.9","3.3","0.8",".",".",".",".",".",".",".",".","."
"","152
002","93","2.978","17.2","9.7","45.2","11.8","14.0","2.2",".",".",".",".",".",".",".",".",".","."
"","152
003","90","2.900","14.4","7.8","50.0","3.3","22.2","2.2",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","305","2.934","15.4","8.5","49.5","7.2","16.4","2.6","0.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","153
001","48","2.625","12.5","4.2","35.4","12.5","27.1","6.3","2.1",".",".",".",".",".",".",".",".","."
"","260
001","68","2.985","20.6","11.8","38.2","8.8","16.2","1.5","1.5",".",".",".",".",".",".","1.5",".","."
"","260
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Ecology","Course Total","72","3.042","25.0","11.1","36.1","8.3","15.3","1.4","1.4",".",".",".",".",".",".","1.4",".","."
"Introduction to Entomology","302
001","25","2.940","28.0","20.0","12.0","24.0","8.0",".","8.0",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","117","2.897","12.0","13.7","44.4","10.3","17.1","0.9","1.7",".",".",".",".",".",".",".",".","."
"Parasitology","350
001","76","2.678","10.5",".","44.7","9.2","32.9","2.6",".",".",".",".",".",".",".",".",".","."
"Parasitology Laboratory","351
001","9","2.778",".",".","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Medical Entomology","371
001","10","3.300","10.0","60.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Honors Proseminar","380
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Biology","400
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","123","2.959","31.7","15.4","23.6","5.7","9.8","8.1","4.9","0.8",".",".",".",".",".",".",".","."
"General Ecology","460
001","26","3.288","53.8","3.8","15.4","15.4","3.8","7.7",".",".",".",".",".",".",".",".",".","."
"General Genetics","466
001","41","2.634","12.2","19.5","12.2","24.4","17.1","14.6",".",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470
001","121","2.979","23.1","11.6","27.3","12.4","21.5","1.7",".","0.8",".",".",".",".","1.7",".",".","."
