"JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","",""
"Intro to Mass Communication","201
001","372","3.439","43.3","23.4","23.1","4.3","2.2","2.7","0.5","0.3",".",".",".",".",".","0.3",".","."
"Mass Communication Practices","202
001","118","3.347","20.3","34.7","39.8","4.2","0.8",".",".",".",".",".",".",".",".",".",".","."
"","335
001","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","14","3.321","21.4","35.7","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","335
003","14","3.607","50.0","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Reporting","Course Total","41","3.488","34.1","36.6","24.4","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","345
001","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345
002","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Strategic Com","Course Total","61","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In-Depth Reporting","401
002","14","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","404
001","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Nonfiction","405
001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445
002","25","3.920","92.0",".","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Develop Creatv Messages-Media","Course Total","44","3.943","93.2","2.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
002","26","3.808","73.1","23.1",".",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Strategic Media Planning","Course Total","50","3.820","70.0","28.0",".",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","475
009","29","3.505","24.1","44.8","24.1",".",".",".",".",".",".",".",".",".",".",".","6.9","."
"","475
010","14","3.708","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
011","12","3.864","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","Course Total","55","3.636","45.5","34.5","14.5",".","1.8",".",".",".",".",".",".",".",".",".","3.6","."
"Hist of Mass Communication","560
001","75","3.054","16.0","25.3","33.3","9.3","12.0","1.3","1.3",".",".",".",".",".","1.3",".",".","."
"Mass Communication&Society","561
001","77","3.480","37.7","29.9","20.8","6.5","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Effects-Mass Communication","565
001","63","3.295","19.0","39.7","27.0","7.9","1.6",".","1.6",".",".",".",".",".","3.2",".",".","."
"Communicatn&Public Opinion","614
001","65","3.754","55.4","40.0","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618
001","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620
001","25","3.813","60.0","36.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Mass Com-Developing Nations","621
001","19","3.368","26.3","31.6","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Responsiblty in Mass Comm","666
001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675
001","22","3.318","50.0","22.7",".","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","676
022","11","3.207","45.5","9.1","18.2","18.2",".",".","9.1",".",".",".",".",".",".",".",".","."
"","676
030","99","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","676
038","24","3.368","29.2","29.2","29.2","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","676
039","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Mass Communication","Course Total","139","3.608","79.9","5.8","6.5","3.6",".",".","0.7","3.6",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 238 of 403",""
