"","999
095","5","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
156","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
159","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","62","3.986","75.8","1.6",".",".",".","",".","",".","8.1","",".",".","",".","3.2","11.3",".",".","."
"CURRIC
272","Dept. Total","2169","3.931","66.6","5.2","1.6","0.2","0.2","",".","",".","3.9","",".","17.5","",".","2.5","1.8","0.1","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","3.758","85.2",".","3.7","3.7",".","",".","",".",".","",".",".","",".",".","3.7","3.7",".","."
"Sophomore","","40","3.893","90.0","5.0","5.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","235","3.876","61.3","11.9","3.4","0.4",".","",".","",".",".","",".","21.3","",".",".","1.3",".","0.4","."
"Senior","","1172","3.936","64.6","5.5","1.2","0.2","0.1","",".","",".","0.1","",".","27.3","",".",".","0.6",".","0.3","."
"Undergraduates","","1474","3.922","65.1","6.4","1.7","0.3","0.1","",".","",".","0.1","",".","25.1","",".",".","0.7","0.1","0.3","."
"Special","","152","3.882","79.6","5.3","3.3",".","2.0","",".","",".","2.0","",".","5.9","",".",".","2.0",".",".","."
"Graduate","","543","3.977","67.0","1.8","0.7",".",".","",".","",".","14.7","",".",".","",".","10.1","4.8","0.2","0.6","."
"","Dept. Total","2169","3.931","66.6","5.2","1.6","0.2","0.2","",".","",".","3.9","",".","17.5","",".","2.5","1.8","0.1","0.4","."
