"BUS","","","","","","","","","","","","","","","","","","","",""
"TRANSPORTATION AND PUBLIC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"243
TRAN P U","","","","","","","","","","","","","","","","","","","",""
"325","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"325","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","8","3.250","37.5",".","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"478
Urban Transport Economics","001","","9","3.444","44.4","22.2","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"671
Energy Economics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"725","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"725","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Utilities","Course Total","","5","***","","","","","","","","","","","","","","","",""
