"BIOLOGICAL SYSTEMS ENGINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"365
Measrmt&Instrumntn-Biol Sys","001","","26","2.396","7.7","11.5","15.4","30.8","11.5","3.8","11.5",".",".",".",".",".","7.7",".",".","."
"367
Renewable Energy Systems","001","","53","3.610","47.2","24.5","18.9","3.8",".",".",".","3.8",".",".",".",".","1.9",".",".","."
"375","001","","31","2.984","6.5","32.3","32.3","22.6","3.2",".","3.2",".",".",".",".",".",".",".",".","."
"375","002","","20","3.175","30.0","20.0","25.0","5.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","51","3.059","15.7","27.5","29.4","15.7","9.8",".","2.0",".",".",".",".",".",".",".",".","."
"441
Rheology of Foods&Biomaterials","001","","12","2.542","8.3",".","33.3","25.0","25.0","8.3",".",".",".",".",".",".",".",".",".","."
"460
Biorefining: Energy & Products","001","","12","3.250","16.7","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"472
Sedmnt & Bio-Nutr Engr&Mgmt","001","","22","3.095","13.6","36.4","27.3",".","13.6","4.5",".",".",".",".",".",".","4.5",".",".","."
"476
Engr Princpl Off-Road Vehicles","001","","10","3.000","20.0","10.0","40.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"571
Small Watershed Engineering","001","","13","3.318","38.5","15.4",".","23.1","7.7",".",".","7.7",".",".",".",".","7.7",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.846","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"901
Graduate Research Seminar","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","27","",".",".",".",".",".",".",".","11.1",".",".",".","88.9",".",".",".","."
