"","699
061","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Reading & Rsch","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"Seminar in Art Education","951
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Independent Reading","999
061","","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"ART ED
176","Dept. Total","","68","3.945","88.2","4.4","",".","1.5","1.5","",".","",".","",".","",".",".","",".","",".","4.4",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","43","3.948","88.4","4.7","",".",".","2.3","",".","",".","",".","",".",".","",".","",".","4.7",".",".","."
"Undergraduates","","","43","3.948","88.4","4.7","",".",".","2.3","",".","",".","",".","",".",".","",".","",".","4.7",".",".","."
"Special","","","18","3.923","83.3","5.6","",".","5.6",".","",".","",".","",".","",".",".","",".","",".","5.6",".",".","."
"Graduate","","","7","4.000","100.0",".","",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","68","3.945","88.2","4.4","",".","1.5","1.5","",".","",".","",".","",".",".","",".","",".","4.4",".",".","."
