"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","304
001","29","3.250","24.1","13.8","48.3","6.9","3.4",".",".","3.4",".","",".",".","",".","",".","",".",".","."
"Civilizat of Ancient Rome","322
001","117","3.402","38.5","28.2","23.9","4.3","1.7","1.7","1.7",".",".","",".",".","",".","",".","",".",".","."
"Gendr&Sexualty-Classcl Wrld","351
001","57","3.527","42.1","28.1","21.1","5.3","1.8",".",".","1.8",".","",".",".","",".","",".","",".",".","."
"Classical Mythology","370
001","336","3.117","20.2","30.1","25.0","12.2","7.1","2.1","2.1","1.2",".","",".",".","",".","",".","",".",".","."
"Topics in Classical Culture","373
001","65","3.121","43.1","13.8","12.3","3.1","12.3","7.7","3.1","4.6",".","",".",".","",".","",".","",".",".","."
"Tech & Practice-Ancient World","379
001","52","3.378","50.0","11.5","15.4","1.9","11.5","3.8",".","5.8",".","",".",".","",".","",".","",".",".","."
"Undergrad Smr:Classicl Wrld","591
001","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Art & Archaeology-Ancient Rome","704
001","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CLASSICS
244","Dept. Total","671","3.241","30.8","25.5","23.5","8.0","6.3","2.4","1.6","1.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","65","3.131","16.9","36.9","24.6","13.8","3.1","1.5","3.1",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","181","3.233","26.0","29.8","28.2","6.6","4.4","3.3","1.1","0.6","",".",".","",".","",".","",".",".",".","."
"Junior","","160","3.189","29.4","23.1","25.6","9.4","8.1","1.9","1.9","0.6","",".",".","",".","",".","",".",".",".","."
"Senior","","259","3.298","38.2","21.6","19.3","6.9","7.3","2.3","1.5","2.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","665","3.237","30.7","25.7","23.8","8.1","6.3","2.4","1.7","1.4","",".",".","",".","",".","",".",".",".","."
"Special","","4","4.000","25.0",".",".",".",".",".",".","75.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","671","3.241","30.8","25.5","23.5","8.0","6.3","2.4","1.6","1.8","",".",".","",".","",".","",".",".",".","."
