"ACCOUNTING AND INFO SYSTE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"Advanced Financial Reporting","406","001","","45","3.411","46.7","17.8","17.8","6.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600","001","","98","3.974","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601","001","","99","3.546","33.3","43.4","20.2","2.0",".",".",".","1.0",".",".",".",".",".",".",".","."
"Financial Statement Analysis","603","001","","48","3.594","45.8","29.2","22.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","","43","3.291","20.9","30.2","37.2","9.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","42","3.119","28.6","19.0","21.4","19.0","9.5",".","2.4",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","","Course Total","","85","3.206","24.7","24.7","29.4","14.1","5.9",".","1.2",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","630","001","","41","3.378","36.6","14.6","41.5","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"","631","001","","35","3.386","37.1","17.1","37.1","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"","631","002","","34","3.309","23.5","17.6","55.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech, Risk&Assurance Serv","","Course Total","","69","3.348","30.4","17.4","46.4","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","701","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","701","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","701","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","","Course Total","","7","3.000","14.3","42.9","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","702","002","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","706","001","","11","3.400","36.4",".","54.5",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Taxation of Pass-Thru Entities","722","001","","21","3.810","76.2","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","","29","3.845","75.9","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strateg Cost Mgmt&Perf Measrmt","771","001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","999","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","","Course Total","","5","***","","","","","","","","","","","","","","","",""
