"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","",".",".",".",".",".",".",".",".",".","100.0","",".",".",".",".",".","."
"Sophomore","","25","2.571","4.0","16.0","12.0","8.0","4.0","8.0","4.0",".",".","44.0","",".",".",".",".",".","."
"Junior","","88","3.127","33.0","18.2","18.2","9.1","9.1","2.3","1.1",".",".","6.8","",".",".","1.1",".","1.1","."
"Senior","","215","3.291","33.5","28.4","22.3","2.8","9.3",".","0.9","0.9",".","1.4","",".",".",".",".","0.5","."
"Undergraduates","","337","3.209","30.3","24.0","19.9","4.7","8.6","1.2","1.2","0.6",".","8.6","",".",".","0.3",".","0.6","."
"Special","","4","3.269","25.0","25.0","25.0","25.0",".",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","84","3.644","42.9","3.6","3.6",".","2.4",".",".","34.5","1.2",".","",".","10.7",".",".","1.2","."
"","Dept. Total","425","3.244","32.7","20.0","16.7","4.0","7.3","0.9","0.9","7.3","0.2","6.8","",".","2.1","0.2",".","0.7","."
