"","990
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"ITALIAN
508","Dept. Total","550","3.600","52.2","22.7","10.5","5.5","1.1","0.7","0.5","5.3",".",".",".",".","0.7","0.2","0.4","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","75","3.616","60.0","16.0","12.0","5.3","2.7","1.3",".",".",".",".",".",".",".",".","1.3","1.3"
"Sophomore","","158","3.649","58.9","24.1","10.1","4.4","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Junior","","127","3.505","42.5","32.3","11.0","9.4",".",".","1.6","2.4",".",".",".",".",".","0.8",".","."
"Senior","","118","3.510","48.3","24.6","16.1","5.9","1.7","0.8","0.8","1.7",".",".",".",".",".",".",".","."
"Undergraduates","","478","3.573","52.1","25.1","12.1","6.3","1.3","0.8","0.6","1.0",".",".",".",".",".","0.2","0.2","0.2"
"Special","","14","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".","7.1",".","7.1","."
"Graduate","","58","3.926","48.3","8.6",".",".",".",".",".","37.9",".",".",".",".","5.2",".",".","."
"","Dept. Total","550","3.600","52.2","22.7","10.5","5.5","1.1","0.7","0.5","5.3",".",".",".",".","0.7","0.2","0.4","0.2"
