"Summary by Level","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","3.500",".","100.0",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","7","3.500","42.9","14.3","42.9",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","8","3.500","37.5","25.0","37.5",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","4","3.875","75.0","25.0",".",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","267","3.760","58.1","30.7","4.5","1.1","",".","0.4","",".","3.0","",".",".","",".","",".","2.2",".",".","."
"Prof Yr 2","8","3.500","37.5","12.5","37.5",".","",".",".","",".",".","",".",".","",".","",".","12.5",".",".","."
"Prof Yr 3","5","3.600","60.0",".","40.0",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","8","3.563","25.0","62.5","12.5",".","",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","21","3.550","38.1","28.6","28.6",".","",".",".","",".",".","",".",".","",".","",".","4.8",".",".","."
