"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","202","2.910","19.3","14.4","27.7","14.4","19.3","1.5","2.0","1.0",".",".",".",".",".",".","0.5","."
"","002
300","135","2.902","11.1","11.9","45.2","16.3","11.1","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","337","2.907","16.0","13.4","34.7","15.1","16.0","1.5","1.8","1.2",".",".",".",".",".",".","0.3","."
"","320
001","40","3.450","35.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
320","28","3.304","21.4","32.1","32.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
320","24","3.563","50.0","20.8","20.8","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","320
004","33","3.375","24.2","33.3","30.3","9.1",".",".",".",".",".",".",".",".",".","3.0",".","."
"Investment Theory","Course Total","125","3.419","32.0","29.6","27.2","10.4",".",".",".",".",".",".",".",".",".","0.8",".","."
"","325
001","24","3.229","8.3","45.8","29.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","58","3.259","20.7","27.6","34.5","17.2",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","60","3.183","16.7","25.0","41.7","11.7","5.0",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","142","3.222","16.9","29.6","36.6","14.8","2.1",".",".",".",".",".",".",".",".",".",".","."
"","330
001","32","3.371","25.0","31.3","34.4","3.1","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"","330
002","60","3.283","30.0","33.3","10.0","16.7","10.0",".",".",".",".",".",".",".",".",".",".","."
"","330
003","51","3.225","23.5","35.3","17.6","9.8","13.7",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","143","3.282","26.6","33.6","18.2","11.2","9.8",".",".","0.7",".",".",".",".",".",".",".","."
"","365
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","30","3.450","43.3","23.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","37","3.554","54.1","18.9","16.2","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"","399
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","3","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","75","3.264","25.3","20.0","45.3","5.3",".","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","24","3.688","41.7","54.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","39","3.744","48.7","51.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bank Simulation and Strategy","610
001","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","13","3.583","53.8",".","38.5",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","002
635","29","3.375","31.0","20.7","34.5","10.3",".",".",".","3.4",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","42","3.438","38.1","14.3","35.7","7.1",".",".",".","4.8",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","700
030","63","3.706","44.4","52.4","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory & Applicatn","721
001","39","3.564","41.0","30.8","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Valuatn&Corp Investmnt Decisns","726
001","43","3.768","60.5","27.9","4.7","2.3",".",".",".","4.7",".",".",".",".",".",".",".","."
"Corporate Finance Decisions","727
001","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal-Fixed Income Securities","740
001","19","3.474","47.4","15.8","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","31","3.871","83.9","6.5","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","2","***","","","","","","","","","","","","","","","",""
"Security Anal&Invstmt Mgt 2","836
001","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Corporate Finance II","851
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 54 of 403"
