"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","20","3.450","35.0","30.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
004","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
006","21","3.381","38.1","38.1","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"","101
008","20","3.167","40.0","20.0","10.0",".","10.0","5.0","5.0","10.0",".",".",".",".",".",".",".","."
"","101
009","15","3.200","33.3","26.7","26.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","010
101","16","3.357","31.3","25.0","12.5","12.5","6.3",".",".","6.3",".",".",".",".",".","6.3",".","."
"","101
011","20","3.632","35.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0"
"","101
012","18","3.382","33.3","33.3","5.6","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"First Semester French","Course Total","146","3.443","41.8","29.5","13.0","4.8","4.1","0.7","2.1","2.7",".",".",".",".",".","0.7",".","0.7"
"","102
002","20","3.176","15.0","35.0","15.0","15.0",".","5.0",".","15.0",".",".",".",".",".",".",".","."
"","102
004","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
102","21","3.071","4.8","38.1","33.3","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
007","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","102
008","25","3.320","36.0","32.0","8.0","8.0","16.0",".",".",".",".",".",".",".",".",".",".","."
"","102
009","20","3.000","15.0","20.0","30.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"","102
010","17","3.423","23.5","23.5","23.5","5.9",".",".",".","23.5",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","136","3.283","25.0","31.6","19.9","10.3","7.4","0.7",".","5.1",".",".",".",".",".",".",".","."
"","203
002","18","3.344","27.8","27.8","22.2",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"","203
004","17","3.118","11.8","58.8","11.8",".","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"","005
203","14","3.000","21.4",".","50.0","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","203
007","13","3.269","15.4","46.2","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","203
008","9","3.500","44.4","22.2","11.1",".","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","71","3.221","22.5","32.4","23.9","4.2","9.9","2.8",".","4.2",".",".",".",".",".",".",".","."
"","204
001","22","2.977","4.5","40.9","13.6","27.3","13.6",".",".",".",".",".",".",".",".",".",".","."
"","204
002","8","3.250","37.5","12.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","204
003","23","2.870","8.7","21.7","34.8","21.7","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"","204
004","21","3.048","4.8","19.0","57.1","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"","204
006","13","2.808","7.7","38.5","23.1",".","23.1",".","7.7",".",".",".",".",".",".",".",".","."
"","204
008","10","2.550",".","30.0","30.0","20.0",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","97","2.923","8.2","27.8","32.0","18.6","9.3","1.0","3.1",".",".",".",".",".",".",".",".","."
"","228
001","16","3.545","43.8","50.0",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","228
002","18","3.500","27.8","55.6","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","228
003","23","3.526","39.1","26.1","34.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","12","3.450","16.7","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
005","15","3.702","60.0","33.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","84","3.545","38.1","42.9","14.3","2.4","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","271
001","9","3.712","55.6","11.1","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","271
002","17","3.632","70.6","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","271
003","13","3.682","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","39","3.667","59.0","25.6","10.3",".",".",".","2.6","2.6",".",".",".",".",".",".",".","."
"Practical French Converstn","302
001","50","3.898","84.0","10.0","2.0","2.0",".",".",".","2.0",".",".",".",".",".",".",".","."
"","311
001","21","3.548","33.3","42.9","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","17","3.500","52.9","23.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","Course Total","38","3.526","42.1","34.2","18.4","2.6",".","2.6",".",".",".",".",".",".",".",".",".","."
"","321
001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 211 of 403",""
