"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"140
Intro-Community & Envir Soc","001","","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"210
Survey of Sociology","001","","44","3.364","34.1","29.5","20.5","6.8","9.1",".",".",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","8","2.875","25.0","25.0",".","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"230
Ag&Soc Change-Western Hist","001","","47","3.141","27.7","19.1","25.5","12.8","10.6",".","2.1",".",".",".",".",".",".","2.1",".","."
"245
Technology and Society","001","","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"260
Latin America-Introduction","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","44","3.956","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","027","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","63","3.930","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"357","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"357","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"357","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"357","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","17","3.588","58.8","23.5","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"360","001","","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"360","002","","12","2.583","8.3","25.0","16.7","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"360","003","","8","2.750","12.5","37.5","12.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","27","2.815","14.8","29.6","18.5","14.8","11.1","3.7","7.4",".",".",".",".",".",".",".",".","."
"361
Stats for Sociologists II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"434
People, Wildlife & Landscapes","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"532
Hlth Care Iss:Ind, Fam, Soc","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"533
Public Hlth-Rural & Urban Comm","001","","16","3.500","50.0","31.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"540
Soc-Int'l Dev, Envir&Sustain","001","","20","3.421","25.0","45.0","10.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"622
Adv Topics-Critical Sociol","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","Page 40 of 403"
