"KINESIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116","001","22","3.619","40.9","36.4","18.2",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","116","002","24","3.813","66.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","46","3.722","54.3","32.6","10.9",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Introduction to Kinesiology","119","001","103","3.772","69.9","16.5","12.6",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","127","001","40","3.225","10.0","37.5","42.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","197","001","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","197","002","21","3.925","85.7","4.8","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Technique-Athletic Training","","Course Total","42","3.939","90.5","2.4","4.8",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","300","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","41","3.317","9.8","51.2","34.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Assessmnt & Rsch-Phys Activity","315","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics of Human Movement","318","001","57","3.404","38.6","35.1","10.5","7.0","7.0",".","1.8",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321","001","48","3.563","43.8","33.3","16.7","4.2","2.1",".",".",".",".",".",".",".",".",".",".","."
"","323","001","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","47","3.947","89.4","10.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Kinesiology","330","001","38","3.434","23.7","42.1","31.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350","001","60","3.575","50.0","31.7","11.7","3.3",".","3.3",".",".",".",".",".",".",".",".",".","."
"Therapeutic Strategies I","357","001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Motor Development","360","001","46","3.783","73.9","10.9","13.0","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","41","3.622","51.2","26.8","17.1","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","005","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","13","3.979","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Org&Admin-Ath Training Prgm","400","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field-Athletic Training","450","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Probs-Exercise & Sports","457","001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Teaching Secondary PE","462","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Athletic Training","499","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
