"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Issues in Educ Policy Analysis","765
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Energy Analysis Seminar","810
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819
001","","38","3.566","28.9","55.3","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","820
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Administrative Internship","827
001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Macroecon Pol & Int'l Fin Reg","854
001","","23","3.457","34.8","30.4","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Trade, Competition&Governance","856
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pol Econ-Corruptn&Good Governc","857
001","","14","3.615","35.7","42.9","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Workshop-Int'l Public Affairs","860
001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Policy&Policy Design","864
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","869
001","","16","3.813","93.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","869
002","","15","3.900","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","31","3.855","93.5",".",".","3.2",".","3.2",".",".",".",".",".",".",".",".",".","."
"","873
001","","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
002","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","873
003","","18","3.824","61.1","33.3",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Intro to Policy Analysis","Course Total","","52","3.814","67.3","25.0","5.8",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Policy-Making Process","874
001","","34","3.636","35.3","52.9","8.8",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Nonprofit Leadership","887
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Budgeting","892
001","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performance Management","895
001","","8","3.833","50.0","25.0",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"","974
001","","8","3.714","37.5","50.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","974
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","974
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","20","3.868","70.0","25.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
