"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","",""
"","999
015","7","3.833","85.7",".","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","999
017","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
020","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
024","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
031","12","3.864","83.3","8.3","8.3",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","999
034","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
050","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
071","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
074","17","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","999
077","8","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","999
098","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Study","Course Total","142","3.960","93.7","2.8","2.1",".",".",".",".",".","",".",".","",".","",".","1.4",".",".","."
"ART
168","Dept. Total","1565","3.636","62.3","17.9","11.5","2.6","1.5","1.0","1.3","0.4","",".",".","",".","",".","1.4",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","130","3.359","38.5","30.0","15.4","6.9","3.8","1.5","3.1",".","",".",".","",".","",".","0.8",".",".","."
"Sophomore","","265","3.405","46.8","20.8","19.6","3.4","2.6","2.6","2.6",".","",".",".","",".","",".","1.5",".",".","."
"Junior","","294","3.559","52.4","25.2","13.6","3.7","1.7","1.0","1.7",".","",".",".","",".","",".","0.7",".",".","."
"Senior","","545","3.715","65.1","18.2","10.5","1.7","1.1","0.7","0.4","0.9","",".",".","",".","",".","1.5",".",".","."
"Undergraduates","","1234","3.580","55.3","21.6","13.7","3.1","1.9","1.3","1.5","0.4","",".",".","",".","",".","1.2",".",".","."
"Special","","47","3.613","55.3","14.9","6.4","2.1","2.1",".","4.3","4.3","",".",".","",".","",".","8.5",".","2.1","."
"Graduate","","283","3.957","94.0","2.1","2.8",".",".",".",".",".","",".",".","",".","",".","1.1",".",".","."
"Prof Yr 1","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","2.500",".",".",".","100.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1565","3.636","62.3","17.9","11.5","2.6","1.5","1.0","1.3","0.4","",".",".","",".","",".","1.4",".","0.1","."
