"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"526
Theatres-China & Japan","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"535
Modern Amer Drama & Theatre","001","","21","3.672","47.6","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"541
Acting Shakespeare","001","","18","3.333","44.4","22.2",".","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"557
Adv Theatre-Cultrl&Soc Aware","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"563
Costume Design II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"568
Directing Lab","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"571
Adv Technical Practices","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"579
Adv Concepts Stage Management","001","","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"619","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"619","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","005","","13","3.038","23.1","30.8","15.4","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"619","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"619","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"619","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619","012","","13","3.538","38.5","46.2","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","72","3.691","68.1","18.1","5.6","1.4","4.2","1.4",".","1.4",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"731
Adv Theatre Hist-500bc-1700","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Voice Training","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Graduate Stage Movement","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Costume Design III","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"768
Adv Problems in Directing","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Independent Study","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Smr-Theatre&Performnc Study","001","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 317 of 403",""
