"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"Hum Sexuality-Soc,Psych Iss","160
001","200","3.111","28.0","23.0","19.5","10.5","10.5","3.5","2.0","2.5",".",".",".",".",".",".",".","0.5"
"Introduction to Psychology","201
001","15","2.267",".","6.7","6.7","46.7","33.3",".","6.7",".",".",".",".",".",".",".",".","."
"","202
001","338","2.722","16.0","18.9","13.9","22.2","16.6","7.7","3.3","0.9","0.3",".",".",".","0.3",".",".","."
"","002
202","306","2.725","17.0","17.3","12.4","25.2","15.0","6.5","3.9","1.0",".",".",".",".",".",".","1.3","0.3"
"","003
202","338","2.779","15.4","21.3","8.0","32.0","13.6","8.3","0.6","0.3",".",".",".",".",".",".","0.3","0.3"
"","004
202","161","2.649","22.4","7.5","15.5","18.0","23.0","6.8","5.0","1.2",".",".",".",".","0.6",".",".","."
"Introduction to Psychology","Course Total","1143","2.730","17.0","17.6","12.0","25.3","16.2","7.4","2.9","0.8","0.1",".",".",".","0.2",".","0.4","0.2"
"","210
001","61","2.549","13.1","6.6","31.1","4.9","32.8","8.2","3.3",".",".",".",".",".",".",".",".","."
"","210
002","64","2.805","15.6","9.4","37.5","7.8","26.6",".","3.1",".",".",".",".",".",".",".",".","."
"","210
003","59","2.640","15.3","11.9","20.3","6.8","33.9","6.8","1.7","1.7",".",".",".",".","1.7",".",".","."
"","210
004","57","2.684","15.8","5.3","26.3","19.3","29.8",".","3.5",".",".",".",".",".",".",".",".","."
"","210
005","61","2.770","18.0","18.0","26.2","11.5","14.8","4.9","6.6",".",".",".",".",".",".",".",".","."
"Basic Stats for Psychology","Course Total","302","2.692","15.6","10.3","28.5","9.9","27.5","4.0","3.6","0.3",".",".",".",".","0.3",".",".","."
"","225
001","46","3.043","17.4","21.7","32.6","13.0","13.0","2.2",".",".",".",".",".",".",".",".",".","."
"","225
002","47","2.891","14.9","21.3","34.0","8.5","12.8",".","6.4",".",".",".",".",".","2.1",".",".","."
"","225
003","47","3.064","17.0","25.5","34.0","8.5","12.8",".","2.1",".",".",".",".",".",".",".",".","."
"","225
004","47","2.809","8.5","25.5","34.0","17.0","6.4",".","8.5",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","187","2.952","14.4","23.5","33.7","11.8","11.2","0.5","4.3",".",".",".",".",".","0.5",".",".","."
"","311
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","105","3.559","43.8","29.5","16.2","6.7","1.0",".",".","2.9",".",".",".",".",".",".",".","."
"Issues in Psychology","Course Total","122","3.608","51.6","25.4","13.9","5.7","0.8",".",".","2.5",".",".",".",".",".",".",".","."
"","386
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
042","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Learning in Psychology","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
001","67","2.985","13.4","16.4","35.8","16.4","14.9",".",".",".","1.5",".",".",".","1.5",".",".","."
"","402
002","9","3.333","33.3","22.2","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Literacy, Brain and Behavior","Course Total","76","3.027","15.8","17.1","35.5","14.5","14.5",".",".",".","1.3",".",".",".","1.3",".",".","."
"Psychology of Perception","406
001","65","2.677","18.5","16.9","18.5","20.0","12.3","4.6","9.2",".",".",".",".",".",".",".",".","."
"","411
001","26","4.000","92.3",".",".",".",".",".",".","3.8",".",".",".",".","3.8",".",".","."
"","411
002","13","3.500","53.8","15.4","15.4",".",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"","411
003","22","3.636","54.5","36.4","4.5",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"","411
004","48","3.532","37.5","37.5","20.8",".",".","2.1",".","2.1",".",".",".",".",".",".",".","."
"","411
005","25","3.520","40.0","24.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
006","26","3.423","34.6","26.9","30.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","411
007","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
008","24","3.271","29.2","12.5","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","411
009","23","3.457","30.4","30.4","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
010","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
