"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","141","2.816","12.1","17.7","29.8","19.1","14.2","5.7","1.4",".",".",".",".",".",".",".",".","."
"","002
101","75","3.534","40.0","38.7","9.3","8.0","2.7",".",".","1.3",".",".",".",".",".",".",".","."
"","101
003","62","3.339","24.2","40.3","27.4","4.8",".","1.6","1.6",".",".",".",".",".",".",".",".","."
"","101
004","76","3.645","56.6","25.0","11.8","3.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"","101
005","77","3.097","22.1","23.4","33.8","9.1","5.2","5.2","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","431","3.212","28.3","26.9","23.4","10.7","6.5","3.0","0.9","0.2",".",".",".",".",".",".",".","."
"","210
001","78","3.237","48.7","14.1","11.5","10.3","6.4","6.4","2.6",".",".",".",".",".",".",".",".","."
"","210
002","71","3.079","29.6","25.4","19.7","4.2","9.9","7.0","2.8","1.4",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","149","3.162","39.6","19.5","15.4","7.4","8.1","6.7","2.7","0.7",".",".",".",".",".",".",".","."
"","211
001","76","3.486","50.0","18.4","7.9","10.5","1.3","3.9",".","5.3","1.3",".",".",".",".","1.3",".","."
"","211
002","77","3.520","33.8","46.8","10.4","2.6","2.6","1.3",".","2.6",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","153","3.503","41.8","32.7","9.2","6.5","2.0","2.6",".","3.9","0.7",".",".",".",".","0.7",".","."
"","241
001","79","3.378","22.8","34.2","39.2",".","2.5",".",".",".","1.3",".",".",".",".",".",".","."
"","241
002","65","2.773","12.3","9.2","36.9","20.0","13.8","3.1","3.1",".",".",".",".",".",".",".","1.5","."
"Introductory Ethics","Course Total","144","3.106","18.1","22.9","38.2","9.0","7.6","1.4","1.4",".","0.7",".",".",".",".",".","0.7","."
"Topic in Philosophy-Humanities","304
001","21","3.900","81.0","9.5","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Topics in Philosophy: Soc Sci","305
001","7","3.286","14.3","57.1","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","341
001","78","3.327","14.1","46.2","25.6","9.0","1.3",".",".","2.6",".",".",".",".","1.3",".",".","."
"","341
002","67","3.575","46.3","32.8","13.4","4.5","3.0",".",".",".",".",".",".",".",".",".",".","."
"","003
341","156","3.431","23.1","39.1","34.0","1.3",".",".",".","0.6",".",".",".",".","1.9",".",".","."
"","341
093","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
096","19","3.263","26.3","31.6","26.3",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","374","3.481","31.3","38.2","23.8","3.2","1.6",".",".","0.8",".",".",".",".","1.1",".",".","."
"History-Modern Philosophy","001
432","55","3.330","30.9","30.9","18.2","10.9","3.6",".","1.8","1.8",".",".",".",".",".","1.8",".","."
"19th Century Philosophers","433
001","19","3.263","26.3","26.3","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","36","3.431","44.4","19.4","16.7","16.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","32","3.406","40.6","21.9","28.1","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","14","3.308","7.1","57.1","14.3","14.3",".",".",".",".",".",".",".",".","7.1",".",".","."
"Freedom Fate and Choice","530
001","41","2.838","29.3","9.8","14.6","17.1","17.1","4.9","4.9","2.4",".",".",".",".",".",".",".","."
"Special Topics in Ethics","543
001","21","3.190","14.3","38.1","33.3","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"Aesthetics","553
001","29","3.089","24.1","24.1","20.7","6.9","17.2","3.4",".",".",".",".",".",".","3.4",".",".","."
"Philos of Artificial Sci","554
001","24","2.979","20.8","20.8","20.8","16.7","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"Political Philosophy","555
001","31","3.000","16.1","29.0","25.8","16.1",".","6.5","3.2","3.2",".",".",".",".",".",".",".","."
"Ethical Issues in Health Care","558
001","25","3.021","40.0","12.0","12.0","8.0","12.0","8.0","4.0","4.0",".",".",".",".",".",".",".","."
"Metaphysics","560
001","27","3.160","29.6","3.7","37.0","11.1","11.1",".",".","3.7",".",".",".",".","3.7",".",".","."
"Spec Topics in Metaphysics","562
001","24","2.848","20.8","33.3","16.7","4.2",".","12.5","8.3",".",".",".",".",".","4.2",".",".","."
"Senior Honors Seminar","582
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","Page 274 of 403",""
