"","990
057","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
072","2","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","","",""
"Independent Work","999
057","1","***","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"G L E
418","Dept. Total","140","3.527","43.6","26.4","13.6","2.1","",".","0.7","",".","12.1","",".",".","",".","0.7","",".","0.7",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","12","3.875","75.0","25.0",".",".","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","29","3.875","72.4","24.1",".",".","",".",".","",".",".","",".",".","",".",".","",".","3.4",".","."
"Junior","","22","3.163","36.4","22.7","31.8","4.5","",".","4.5","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","30","3.543","40.0","36.7","20.0","3.3","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","93","3.506","53.8","28.0","14.0","2.2","",".","1.1","",".",".","",".",".","",".",".","",".","1.1",".","."
"Graduate","","47","3.609","23.4","23.4","12.8","2.1","",".",".","",".","36.2","",".",".","",".","2.1","",".",".",".","."
"","Dept. Total","140","3.527","43.6","26.4","13.6","2.1","",".","0.7","",".","12.1","",".",".","",".","0.7","",".","0.7",".","."
