"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","2223","3.274","38.7","17.6","21.3","7.4","8.1","2.7","1.2","1.9","",".",".","",".","0.6","0.4",".","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","39","3.397","56.4","12.8","12.8","5.1","7.7","2.6","2.6",".","",".",".","",".",".",".",".",".","."
"Sophomore","","348","3.202","35.9","16.7","21.0","10.6","12.1","2.9","0.3",".","",".",".","",".",".","0.6",".",".","."
"Junior","","727","3.198","34.0","18.7","24.3","8.7","9.5","3.6","1.0",".","",".",".","",".",".","0.3",".",".","."
"Senior","","598","3.120","33.4","15.7","23.2","9.4","10.0","3.7","2.7","1.3","",".",".","",".",".","0.3",".","0.2","."
"Undergraduates","","1712","3.176","34.7","17.1","23.0","9.2","10.2","3.4","1.5","0.5","",".",".","",".",".","0.4",".","0.1","."
"Special","","16","3.774","62.5","6.3","12.5",".",".",".",".","12.5","",".",".","",".",".","6.3",".",".","."
"Graduate","","369","3.673","50.4","24.4","11.1","1.1","0.5",".",".","8.7","",".",".","",".","3.8",".",".",".","."
"Prof Yr 1","","125","3.488","55.2","6.4","29.6","2.4","3.2","1.6","0.8",".","",".",".","",".",".","0.8",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","126","3.492","55.6","6.3","29.4","2.4","3.2","1.6","0.8",".","",".",".","",".",".","0.8",".",".","."
"","Dept. Total","2223","3.274","38.7","17.6","21.3","7.4","8.1","2.7","1.2","1.9","",".",".","",".","0.6","0.4",".","0.0","."
