"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","",""
"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","31","4.000","54.8",".",".",".",".",".",".",".",".",".",".",".","45.2",".",".","."
"Engineerng Economc Analysis","313","001","101","3.287","29.7","23.8","36.6","4.0","3.0","1.0","2.0",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","60","3.867","81.7","15.0",".","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","33","3.379","30.3","21.2","42.4","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","321","001","13","3.154","23.1",".","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","33","3.379","30.3","21.2","42.4","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","25","3.140","24.0","20.0","32.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","56","3.473","17.9","60.7","19.6","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","29","3.517","17.2","72.4","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","44","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","31","3.952","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","28","3.411","28.6","32.1","35.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Decision Making in Health Care","517","001","30","3.567","50.0","26.7","13.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","50","3.580","46.0","32.0","16.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","7","3.417","28.6","14.3","42.9",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Patient Safety&Error Reduction","559","001","37","3.905","81.1","18.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Risk Anal Nuc Pwr Plnt","574","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Location Models","578","001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Systems Control","615","001","29","3.603","31.0","58.6","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617","001","23","3.568","34.8","39.1","21.7",".",".",".",".",".",".",".",".",".",".",".","4.3","."
"Simulation Modeling & Analysis","620","001","16","3.344","18.8","37.5","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Tools & Envirnmt-Optimizatn","635","001","40","3.667","62.5","10.0","22.5",".","2.5",".",".",".",".",".",".",".",".","2.5",".","."
"Design & Anal-Manufact Sys","641","001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","28","3.875","78.6","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","691","003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","7","3.850","42.9","14.3",".",".",".",".",".",".",".",".",".",".","42.9",".",".","."
"","699","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","2","***","","","","","","","","","",".",".",".",".",".",".","."
