"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","324","002","","28","3.375","32.1","35.7","17.9","3.6","10.7",".",".",".",".",".",".",".",".",".",".","."
"Structure of English","","Course Total","","56","3.286","23.2","32.1","30.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"English Grammar in Use","325","001","","28","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Prof&Acad Writng Skills","327","001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"","328","005","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","28","",".",".",".",".",".",".",".",".",".","96.4","3.6",".",".",".",".","."
"Intro to the Syntax of English","329","001","","22","3.500","45.5","22.7","22.7","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","332","001","","32","3.813","75.0","15.6","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","22","3.795","68.2","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","33","3.621","33.3","57.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","003","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","004","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","005","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","006","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL Workshops","","Course Total","","81","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topics-English Lang & Linguis","338","001","","18","3.281","44.4","27.8",".",".","5.6","5.6","5.6","11.1",".",".",".",".",".",".",".","."
"Chicana/o & Latina/o Lit","357","001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Beowulf","359","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","362","001","","25","3.340","32.0","44.0","8.0","8.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","362","002","","32","2.790","9.4","18.8","28.1","28.1","6.3",".","6.3",".",".",".",".",".","3.1",".",".","."
"A Theme-Medieval Eng Lit","","Course Total","","57","3.036","19.3","29.8","19.3","19.3","5.3",".","5.3",".",".",".",".",".","1.8",".",".","."
"Chaucer's Canterbury Tales","367","001","","28","2.815","10.7","25.0","21.4","17.9","14.3","3.6","3.6","3.6",".",".",".",".",".",".",".","."
"Soph Honors: Rsch Meth-English","381","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402","001","","34","3.773","73.5","20.6",".",".",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"","418","001","","33","3.485","12.1","72.7","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418","002","","30","3.052","36.7","16.7","26.7",".","3.3","3.3","10.0","3.3",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","63","3.282","23.8","46.0","20.6",".","1.6","1.6","4.8","1.6",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442","001","","32","3.964","84.4",".","3.1",".",".",".",".","3.1",".",".",".",".",".",".","9.4","."
"Romantic Poetry","463","001","","30","3.615","60.0","6.7","13.3",".","3.3","3.3",".",".",".",".",".",".","6.7","3.3","3.3","."
"Theme in 19th C Eng Lit","468","001","","18","3.529","27.8","44.4","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Jr Honors Seminar in Major","481","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theme in 20th C Eng Lit","504","001","","29","3.074","13.8","51.7","10.3","3.4","3.4","3.4","6.9","3.4",".",".",".",".","3.4",".",".","."
"Mod British Lit Since 1914","507","001","","21","3.048","23.8","19.0","19.0","19.0","19.0",".",".",".",".",".",".",".",".",".",".","."
"Select Major Modern Amer Poets","509","009","","31","2.935","25.8","29.0","16.1","16.1",".",".","12.9",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","","20","3.444","35.0","20.0","30.0",".","5.0",".",".","10.0",".",".",".",".",".",".",".","."
"","550","001","","24","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","550","002","","11","2.955","27.3","18.2","27.3","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","Page 205 of 403",""
