"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Technical Info Resources","151
001","15","3.821","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","155
001","20","3.650","60.0","30.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","155
002","20","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","21","3.625","61.9","23.8","4.8",".",".",".","4.8",".",".",".",".",".","4.8",".",".","."
"","155
005","21","3.714","61.9","23.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.132","21.1","26.3","42.1",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","155
007","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","21","3.357","33.3","42.9","14.3",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","155
009","20","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","20","3.725","55.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","15","3.400","40.0","40.0","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","216","3.581","48.1","35.2","12.0","0.9","0.9","0.5","1.9",".",".",".",".",".","0.5",".",".","."
"Freshman Independent Study","199
020","67","3.000",".",".","1.5",".",".",".",".","97.0",".",".",".",".",".",".","1.5","."
"","275
001","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","17","3.529","58.8","17.6","5.9","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","275
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
007","11","3.364","36.4","54.5",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","106","3.741","66.0","26.4","3.8","0.9","1.9",".","0.9",".",".",".",".",".",".",".",".","."
"Sophomore Independent Study","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","332
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Intermed Tech Japanese II","Course Total","16","3.867","75.0","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","397
001","19","3.289","15.8","47.4","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","002
397","19","3.500","36.8","31.6","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
397","18","3.306","22.2","38.9","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","21","3.381","23.8","38.1","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","22","3.357","27.3","27.3","27.3","13.6",".",".",".",".",".",".",".",".","4.5",".",".","."
"","397
006","15","3.100","13.3","20.0","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","21","3.286","23.8","28.6","33.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
008","21","3.500","28.6","47.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","16","2.906","6.3","18.8","50.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","397
012","18","3.222","27.8","16.7","44.4","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","397
013","19","3.342","15.8","47.4","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","246","3.359","26.8","33.7","26.8","10.2","1.2","0.8",".",".",".",".",".",".","0.4",".",".","."
"Tech Communications Intrshp","398
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Junior Independent Study","399
019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","450
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
