"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Wkshp-Ed Leadership & Pol Anal","502","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","700","001","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","16","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reflective Practice in Educ","817","001","","11","3.688","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","12","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Financng Elem&Secondry Educ","830","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","17","3.750","52.9","23.5",".","5.9",".",".",".","5.9",".",".",".",".","11.8",".",".","."
"Legal Aspects of Higher Ed","841","001","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","845","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instr Leadershp&Schl Improv","847","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Org Theory&Behavior in Educ","860","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Educ Policy Rsch Design","872","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ideas of Univ:Learning for 21C","881","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Minority-Serving Inst-HigherEd","882","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ed Admin","900","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-College&Universitry Adm","915","001","","20","3.763","85.0","5.0",".",".",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"","940","001","","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","940","002","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","003","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"","940","004","","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","68","3.854","72.1","19.1","4.4",".",".",".",".",".",".",".",".",".","4.4",".",".","."
"","990","003","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","032","","15","",".",".",".",".",".",".",".","86.7",".",".",".",".","13.3",".",".","."
"","990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","10","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","9","",".",".",".",".",".",".",".","66.7",".",".",".",".","33.3",".",".","."
"","990","043","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","","Page 88 of 403"
