"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","3.500",".","33.3",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","66.7","."
"Junior","22","3.938","86.4",".","4.5",".","",".","",".","",".",".","",".",".","",".",".","",".",".","9.1","."
"Senior","39","3.986","97.4","2.6",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","64","3.963","89.1","3.1","1.6",".","",".","",".","",".",".","",".",".","",".",".","",".",".","6.3","."
"Special","8","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","14","4.000","28.6",".",".",".","",".","",".","",".","42.9","",".",".","",".","28.6","",".",".",".","."
"Prof Yr 3","18","3.658","38.9","50.0","5.6",".","",".","",".","",".",".","",".",".","",".",".","",".",".","5.6","."
"Prof Yr 4","179","3.779","61.5","23.5","7.3",".","",".","",".","",".","7.3","",".",".","",".","0.6","",".",".",".","."
"Professionals","197","3.771","59.4","25.9","7.1",".","",".","",".","",".","6.6","",".",".","",".","0.5","",".",".","0.5","."
