"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"","1","001","","28","3.826","60.7","14.3","7.1",".",".",".",".","17.9",".",".",".",".",".",".",".","."
"","1","002","","28","3.920","75.0","14.3",".",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","","Course Total","","56","3.875","67.9","14.3","3.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","11","001","","32","3.734","90.6","3.1",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","11","002","","36","3.943","91.7",".","5.6",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"Modern Dance I","","Course Total","","68","3.843","91.2","1.5","2.9",".",".",".","2.9","1.5",".",".",".",".",".",".",".","."
"","112","001","","16","3.717","56.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112","003","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Dance Technique II","","Course Total","","36","3.754","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance II","12","001","","23","3.739","82.6","8.7","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126","001","","20","3.421","30.0","30.0","30.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Rhythmic Training for Dancers","144","001","","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151","001","","19","3.605","68.4","15.8","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","16","3.933","81.3","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Somatic Theory and Practices","161","001","","19","3.474","63.2","21.1","5.3",".",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"World Dance Cultures","165","001","","19","3.789","78.9","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167","001","","19","3.658","73.7","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Dance Production","170","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production Laboratory","171","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African Dance","177","001","","47","3.848","85.1","4.3","2.1","4.3","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"Dance","205","001","","9","3.389","11.1","55.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet I","21","001","","24","3.925","75.0","4.2","4.2",".",".",".",".","12.5",".",".",".",".","4.2",".",".","."
"","212","001","","10","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","212","002","","14","3.778","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","","Course Total","","30","3.814","63.3","30.0","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Ballet II","22","001","","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Ballet Technique II-B","226","001","","16","3.500","37.5","31.3","6.3",".",".","6.3",".","18.8",".",".",".",".",".",".",".","."
"Intro:Dynamcs-Dance Therapy","232","001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Modern Jazz Dance","31","001","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312","001","","12","3.609","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312","002","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","","Course Total","","23","3.676","52.2","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance II","32","001","","14","3.750","64.3","7.1","7.1","7.1",".",".",".","14.3",".",".",".",".",".",".",".","."
"Ballet Technique III","325","001","","15","3.580","40.0","33.3","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Dance History II: Contemporary","365","001","","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","399","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
