"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","28","3.911","92.9",".","3.6","3.6",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"","300
002","26","3.940","84.6","11.5",".",".",".",".",".","","3.8",".","",".",".","",".","",".","",".",".","."
"Actuarial Science Methods I","Course Total","54","3.925","88.9","5.6","1.9","1.9",".",".","",".","1.9","",".",".","",".","",".","",".",".",".","."
"Actuarial Science Methods II","301
001","88","3.898","88.6","6.8","1.1","2.3","1.1",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Theory-Interst & Life Insur","303
001","89","3.236","30.3","25.8","24.7","7.9","6.7","4.5",".","",".",".","",".",".","",".","",".","",".",".","."
"Actuarial Mathematics II","651
001","82","3.302","14.6","41.5","32.9","8.5","1.2",".",".","","1.2",".","",".",".","",".","",".","",".",".","."
"Loss Models II","653
001","43","3.116","23.3","9.3","41.9","18.6","7.0",".",".","",".",".","",".",".","",".","",".","",".",".","."
"Regressn&Time Series-Actuaries","654
001","39","3.539","30.8","46.2","17.9","2.6",".",".",".","",".",".","",".",".","",".","",".","","2.6",".","."
"ACT SCI
242","Dept. Total","395","3.381","47.3","22.3","19.2","6.6","2.8","1.0","",".","0.5","",".",".","",".","",".","",".","0.3",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.625","50.0","50.0",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","96","3.465","67.7","13.5","10.4","3.1","3.1","2.1","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","122","3.496","61.5","18.9","12.3","2.5","1.6","1.6","",".","0.8","",".",".","",".","",".","",".","0.8",".","."
"Senior","","159","3.313","27.7","29.6","27.0","11.3","3.8",".","",".","0.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","379","3.394","48.8","22.2","17.9","6.3","2.9","1.1","",".","0.5","",".",".","",".","",".","",".","0.3",".","."
"Special","","3","3.143","33.3",".","66.7",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","13","3.154","7.7","30.8","46.2","15.4",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","395","3.381","47.3","22.3","19.2","6.6","2.8","1.0","",".","0.5","",".",".","",".","",".","",".","0.3",".","."
