"CHICANA/O & LATINA/O STUDIE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","",""
"102
Intro-Comparatv Ethnic Studies","001","","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"230
Topics-Chicana/o & Latina/o St","001","","18","3.844","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"231
Politcs:Multi-Cultural Soc","001","","31","2.726","3.2","22.6","35.5","12.9","16.1","9.7",".",".",".",".",".",".",".",".",".","."
"243
Col,Natn&Minrty:PuertoRican","001","","38","3.214","23.7","26.3","18.4","13.2","10.5",".",".","7.9",".",".",".",".",".",".",".","."
"357
Chicana/o & Latina/o Lit","001","","22","3.682","68.2","9.1","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"462
American West Since 1850","001","","41","3.497","34.1","41.5","12.2","7.3","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"530","003","","16","3.281","12.5","37.5","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"530","004","","9","3.000","44.4","22.2",".",".","11.1","22.2",".",".",".",".",".",".",".",".",".","."
"Adv Topc-Chicana/o&Latina/o St","Course Total","","25","3.180","24.0","32.0","28.0","4.0","4.0","8.0",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.808","66.7","20.0","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
