"L&S","","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","2321","3.206","33.8","15.5","16.4","7.8","7.3","2.6","2.5","8.6","",".","4.1","0.3","0.2","0.5","0.1","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","108","2.747","33.3","7.4","11.1","13.9","17.6","2.8","5.6",".","",".","7.4",".",".","0.9",".",".","."
"Sophomore","","385","2.964","28.8","12.5","20.8","11.2","11.9","2.3","2.9",".","",".","8.3","0.5",".","0.5","0.3",".","."
"Junior","","459","2.962","25.7","15.5","22.7","11.3","9.6","5.0","3.3",".","",".","5.4","0.4",".","1.1",".",".","."
"Senior","","693","3.138","32.2","17.2","21.8","8.8","7.8","3.8","3.0","0.4","",".","3.6","0.4","0.3","0.1","0.1","0.3","."
"Undergraduates","","1645","3.030","29.7","15.0","21.1","10.4","9.9","3.7","3.2","0.2","",".","5.5","0.4","0.1","0.5","0.1","0.1","."
"Special","","52","3.490","59.6","19.2","9.6","1.9","5.8",".","3.8",".","",".",".",".",".",".",".",".","."
"Graduate","","672","3.754","46.4","15.8","4.2","1.2","0.4",".","0.4","29.0","",".","0.7",".","0.3","0.4","0.1","0.9","."
"Prof Yr 4","","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".",".",".",".",".",".","."
"Professionals","","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".",".",".",".",".",".","."
"","Dept. Total","2372","3.206","35.1","15.3","16.0","7.6","7.1","2.6","2.4","8.4","",".","4.0","0.3","0.2","0.5","0.1","0.3","."
