"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Intro to Dynamic Systems","Course Total","89","2.773","25.8","7.9","18.0","19.1","19.1","3.4","5.6",".",".",".",".",".","1.1",".",".","."
"","342
001","28","2.500","3.6","35.7",".","14.3","28.6","17.9",".",".",".",".",".",".",".",".",".","."
"","342
002","54","2.815","14.8","13.0","27.8","20.4","18.5","5.6",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","82","2.707","11.0","20.7","18.3","18.3","22.0","9.8",".",".",".",".",".",".",".",".",".","."
"","349
001","16","3.438","31.3","25.0","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
002","15","3.167","33.3",".","40.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","349
003","19","3.553","26.3","57.9","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
007","20","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","90","3.478","34.4","32.2","28.9","3.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"","351
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","351
002","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Exper Dsgn Projects I","Course Total","13","3.615","53.8","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","352
001","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Expr Dsgn Projects II","Course Total","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","43","2.767","7.0","16.3","37.2","11.6","23.3","4.7",".",".",".",".",".",".",".",".",".","."
"","361
002","55","2.620","7.3","12.7","25.5","29.1","12.7","9.1","1.8",".",".",".",".",".",".",".","1.8","."
"","003
361","43","2.547","9.3","16.3","14.0","27.9","20.9","7.0","4.7",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","141","2.643","7.8","14.9","25.5","23.4","18.4","7.1","2.1",".",".",".",".",".",".",".","0.7","."
"","363
001","59","2.966","25.4","16.9","25.4","13.6","10.2","5.1","3.4",".",".",".",".",".",".",".",".","."
"","363
002","56","2.821","14.3","7.1","48.2",".","26.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","115","2.896","20.0","12.2","36.5","7.0","18.3","3.5","2.6",".",".",".",".",".",".",".",".","."
"","364
001","51","3.245","13.7","31.4","47.1","5.9","2.0",".",".",".",".",".",".",".",".",".",".","."
"","364
002","37","3.338","32.4","35.1","21.6",".","5.4","5.4",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","88","3.284","21.6","33.0","36.4","3.4","3.4","2.3",".",".",".",".",".",".",".",".",".","."
"Engr Measure & Instrumentation","368
001","72","2.979","11.1","13.9","43.1","23.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","84","2.869","10.7","11.9","31.0","33.3","13.1",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","19","3.447","21.1","52.6","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","417
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","20","3.447","20.0","50.0","20.0","5.0",".",".",".",".",".",".",".",".","5.0",".",".","."
"","418
001","52","3.788","59.6","38.5","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","54","3.796","61.1","37.0","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","419
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","17","3.719","58.8","17.6","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Joining of Materials","435
001","15","3.267","20.0","33.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Rheology of Foods&Biomaterials","441
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Design Problems-Elasticity","444
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
