"GERMAN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","",""
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research in Lit","Course Total","","13","",".",".",".",".",".",".",".","76.9",".",".",".","23.1",".",".",".","."
"991","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Linguistc&Germanic Philolgy","Course Total","","14","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
