"E ASIAN LANGUAGES & LITERA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","",""
"404
001
Eighth Semester Japanese","11","3.455","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"406
001
Eighth Semester Korean","28","3.857","89.3","3.6",".","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"432
001
Intro to Chinese Ling","34","3.470","50.0","23.5","8.8","8.8","2.9",".","2.9",".",".",".",".",".","2.9",".",".","."
"433
001
Topics-E Asian Visual Cultures","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"450
001
Japanese for Politics&Govrnmnt","2","***","","","","","","","","","",".",".",".",".",".",".","."
"672
001
Studies in Chinese Fiction","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Directed Study","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
001
Prosem-Chinese Literature","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"833
001
Topics-E Asian Visual Cultures","5","***","","","","","","","","","",".",".",".",".",".",".","."
"932
001
Smr-Chinese Linguistics","11","3.944","72.7","9.1",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"951
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Smr-Chinese Literature","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"990
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990
047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Thesis Research","11","",".",".",".",".",".",".",".","36.4","9.1",".",".","54.5",".",".",".","."
"999
035
Independent Research","2","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
Dept. Total
295","1075","3.546","50.7","25.2","10.8","5.5","2.6","1.1","0.7","1.9","0.2",".",".","0.8","0.5",".",".","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","",""
"Freshmen","89","3.399","42.7","25.8","16.9","6.7","2.2","4.5",".","1.1",".",".",".",".",".",".",".","."
"Sophomore","206","3.568","53.4","24.8","11.7","3.4","3.4","1.0","1.5","1.0",".",".",".",".",".",".",".","."
"Junior","263","3.511","46.8","28.5","11.4","7.6","1.9","1.1","0.4","1.5","0.4",".",".",".","0.4",".",".","."
"Senior","411","3.558","53.5","24.3","10.7","5.4","3.4","0.7","0.7","1.0",".",".",".",".","0.2",".",".","."
"Undergraduates","969","3.531","50.7","25.7","11.7","5.7","2.9","1.2","0.7","1.1","0.1",".",".",".","0.2",".",".","."
"Special","21","3.526","28.6","42.9","9.5","9.5",".",".",".","4.8",".",".",".",".",".",".",".","4.8"
"Graduate","83","3.793","55.4","15.7","1.2","2.4",".",".",".","9.6","1.2",".",".","10.8","3.6",".",".","."
"Prof Yr 2","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dept. Total","1075","3.546","50.7","25.2","10.8","5.5","2.6","1.1","0.7","1.9","0.2",".",".","0.8","0.5",".",".","0.1"
