"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","317","2.965","16.4","18.3","32.5","15.8","12.6","3.8","0.3",".",".",".",".",".","0.3",".",".","."
"132","002","","352","2.848","13.9","17.6","28.7","16.5","16.2","5.4","0.9","0.6",".",".",".",".",".","0.3",".","."
"132","003","","161","2.791","10.6","16.8","26.7","16.8","19.9","2.5","1.9","3.1",".",".",".",".","0.6","1.2",".","."
"Nutrition Today","Course Total","","830","2.883","14.2","17.7","29.8","16.3","15.5","4.2","0.8","0.8",".",".",".",".","0.2","0.4",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.971","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","7","2.714",".","42.9","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","99","3.091","28.3","16.2","25.3","16.2","9.1","5.1",".",".",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","94","3.043","25.5","23.4","22.3","10.6","5.3","9.6","1.1","2.1",".",".",".",".",".",".",".","."
"375","001","","86","3.718","61.6","24.4","9.3","1.2","2.3",".",".","1.2",".",".",".",".",".",".",".","."
"375","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","103","3.736","68.0","20.4","7.8","1.0","1.9",".",".","1.0",".",".",".",".",".",".",".","."
"431
Nutrition in the Life Span","001","","65","3.195","15.4","43.1","24.6","4.6","7.7","1.5","1.5",".",".",".",".",".","1.5",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","26","3.481","30.8","34.6","34.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","38","3.066","31.6","21.1","18.4","7.9","15.8",".","5.3",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","41","3.402","34.1","31.7","17.1","14.6","2.4",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms & Policy Iss","001","","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"619
Adv Nutr: Metab-Macronutrients","001","","11","3.227","18.2","18.2","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"627
Adv Nutrition: Vitamins","001","","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","11","3.318","54.5","18.2","9.1","9.1",".",".","9.1",".",".",".",".",".",".",".",".","."
"672","003","","8","3.500","50.0",".","12.5",".","12.5",".",".","25.0",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","19","3.382","52.6","10.5","10.5","5.3","5.3",".","5.3","10.5",".",".",".",".",".",".",".","."
"692
Senior Thesis","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","9","3.882","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","3","***","","","","","","","","","","","","","","","",""
"875
Special Topics","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","15","3.364","13.3","26.7","33.3",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","26","4.000","7.7",".",".",".",".",".",".","88.5","3.8",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","","Page 36 of 403"
