"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","","",""
"URB R PL
944","Dept. Total","190","3.820","65.8","24.2","3.7",".","",".","",".","",".","4.2","",".",".","",".","",".","2.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","7","3.692","57.1","28.6","14.3",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","44","3.776","61.4","25.0","6.8",".","",".","",".","",".","4.5","",".",".","",".","",".","2.3",".",".","."
"Undergraduates","","53","3.762","60.4","26.4","7.5",".","",".","",".","",".","3.8","",".",".","",".","",".","1.9",".",".","."
"Special","","2","",".",".",".",".","",".","",".","",".","50.0","",".",".","",".","",".","50.0",".",".","."
"Graduate","","134","3.848","68.7","23.9","2.2",".","",".","",".","",".","3.7","",".",".","",".","",".","1.5",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","190","3.820","65.8","24.2","3.7",".","",".","",".","",".","4.2","",".",".","",".","",".","2.1",".",".","."
