"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","344
016","17","3.382","29.4","35.3","17.6","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","344
017","16","3.000","18.8","18.8","31.3","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","344
018","14","3.036","28.6","7.1","28.6","28.6",".","7.1",".",".",".",".",".",".",".",".",".","."
"","344
019","15","3.233","13.3","40.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","020
344","16","3.281","25.0","37.5","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","344
021","15","3.367","33.3","26.7","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","024
344","15","3.033","13.3","20.0","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","344
025","14","3.429","35.7","21.4","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","344
026","14","3.286","35.7","14.3","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
027","14","3.250","14.3","42.9","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","344
028","16","3.188","25.0","25.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","344
029","18","2.917","22.2","11.1","27.8","27.8","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Intro Organic Chemistry Lab","Course Total","421","3.228","27.8","23.5","26.4","15.0","5.9","1.0","0.5",".",".",".",".",".",".",".",".","."
"","345
001","148","2.639","16.9","10.8","20.3","12.2","26.4","7.4","3.4",".",".",".",".",".","0.7","1.4",".","0.7"
"","002
345","349","2.774","15.2","16.3","33.8","8.0","14.3","8.6","3.4","0.3",".",".",".",".",".",".",".","."
"","345
003","257","2.813","19.8","7.4","30.4","13.6","24.9","1.2","2.7",".",".",".",".",".",".",".",".","."
"","345
004","38","3.513","34.2","47.4","13.2","2.6",".","2.6",".",".",".",".",".",".",".",".",".","."
"Intmed Organic Chemistry","Course Total","792","2.798","17.9","13.9","29.2","10.4","19.3","5.7","3.0","0.1",".",".",".",".","0.1","0.3",".","0.1"
"Intmed Organic Chem Lab","346
004","11","3.500","45.5","18.2","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Polymeric Materials","421
001","9","3.375","22.2","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".","11.1","."
"Undergrad Rheology Seminar","425
001","12","3.625","58.3","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Inorganic Chemistry","511
001","15","3.385","20.0","33.3","26.7","6.7",".",".",".",".",".",".",".",".","13.3",".",".","."
"Chemical Instrumentation","524
001","17","2.813","23.5","5.9","23.5","17.6","11.8","11.8",".","5.9",".",".",".",".",".",".",".","."
"Physical Chemistry","561
001","36","3.056","27.8","16.7","19.4","16.7","16.7","2.8",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry","562
001","103","2.981","22.3","20.4","19.4","18.4","15.5","1.9","1.9",".",".",".",".",".",".",".",".","."
"","563
001","22","3.318","31.8","22.7","31.8","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","563
002","10","3.200","30.0","20.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","563
003","20","3.375","30.0","35.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","563
004","23","3.457","43.5","17.4","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","563
005","16","3.344","43.8","6.3","31.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","006
563","23","3.217","34.8","30.4","13.0","4.3","13.0",".","4.3",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","114","3.329","36.0","22.8","23.7","9.6","7.0",".","0.9",".",".",".",".",".",".",".",".","."
"","564
001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","564
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","564
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Physical Chemistry Lab","Course Total","23","3.217","43.5","8.7","26.1",".","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry","565
001","40","2.859","20.0","12.5","37.5","15.0",".","5.0","7.5",".",".",".",".",".","2.5",".",".","."
"","567
001","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
567","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","567
003","6","2.750","33.3","16.7",".",".","33.3","16.7",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Laboratory","Course Total","22","3.295","36.4","27.3","18.2","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
