"CHEMICAL & BIOLOGICAL ENGR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","42","2.940","19.0","11.9","33.3","14.3","19.0","2.4",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","56","2.830","21.4","5.4","37.5","10.7","19.6",".","5.4",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","57","2.711","14.0","21.1","21.1","8.8","22.8","10.5","1.8",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","47","3.011","14.9","21.3","42.6","6.4","8.5","6.4",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","54","3.185","29.6","13.0","38.9","1.9","16.7",".",".",".",".",".",".",".",".",".",".","."
"","324","001","","15","3.367","33.3","20.0","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","57","3.491","36.8","31.6","26.3","3.5","1.8",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","65","3.054","18.5","18.5","30.8","23.1","7.7","1.5",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","11","3.450","54.5","18.2",".","9.1",".","9.1",".",".","9.1",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","49","2.704","10.2","10.2","36.7","24.5","8.2","6.1","4.1",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","45","3.178","35.6","15.6","22.2","11.1","11.1","4.4",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","51","3.127","29.4","11.8","31.4","9.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","50","2.990","10.0","22.0","36.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","489","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Polymer Sci & Technology","540","001","","48","3.021","14.6","14.6","43.8","14.6","8.3","2.1",".","2.1",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","562","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","17","3.647","47.1","41.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","562","004","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","36","3.778","66.7","25.0","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Instrmntl Anal-Chem Engr","575","001","","17","3.471","35.3","23.5","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","47","4.000","97.9",".",".",".",".",".",".",".",".",".",".",".","2.1",".",".","."
