"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","172","2.542","13.4","12.2","16.9","13.4","27.9","12.2","1.7","1.7",".",".",".",".",".","0.6",".","."
"Beginning Swimming","102
001","17","3.933","76.5","11.8",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"","111
001","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","111
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","29","4.000","93.1",".",".",".",".",".",".","6.9",".",".",".",".",".",".",".","."
"","125
001","17","",".",".",".",".",".",".",".","94.1",".",".",".",".",".",".","5.9","."
"","125
002","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
003","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","125
004","20","4.000","5.0",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","Course Total","71","4.000","1.4",".",".",".",".",".",".","97.2",".",".",".",".",".",".","1.4","."
"Bowling I","127
002","19","3.735","42.1","47.4",".",".",".",".",".",".",".",".",".",".",".","10.5",".","."
"","129
001","23","3.438","21.7","30.4","8.7","4.3","4.3",".",".","30.4",".",".",".",".",".",".",".","."
"","129
002","29","3.625","31.0","41.4","10.3",".",".",".",".","17.2",".",".",".",".",".",".",".","."
"","129
003","22","3.526","27.3","36.4","22.7",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","74","3.542","27.0","36.5","13.5","1.4","1.4",".",".","20.3",".",".",".",".",".",".",".","."
"","130
001","20","3.472","50.0","20.0","10.0","5.0",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"","130
002","26","3.833","57.7","19.2","3.8",".",".",".",".","19.2",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","46","3.667","54.3","19.6","6.5","2.2",".",".","2.2","15.2",".",".",".",".",".",".",".","."
"","131
002","17","3.469","29.4","35.3","23.5","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","131
003","26","3.636","46.2","23.1","7.7","7.7",".",".",".","15.4",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","43","3.566","39.5","27.9","14.0","7.0",".",".",".","11.6",".",".",".",".",".",".",".","."
"","132
001","13","3.400","30.8","15.4","15.4","15.4",".",".",".","23.1",".",".",".",".",".",".",".","."
"","132
002","23","3.278","39.1","13.0","8.7","4.3","4.3","8.7",".","21.7",".",".",".",".",".",".",".","."
"","132
003","11","3.786","45.5","9.1","9.1",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"","132
004","20","3.708","35.0","15.0","10.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","005
132","23","3.676","43.5","17.4","8.7","4.3",".",".",".","17.4",".",".",".",".","8.7",".",".","."
"","006
132","24","3.932","79.2","12.5",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","132
007","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
008","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Weight Training","Course Total","150","3.717","56.7","12.7","7.3","2.7","0.7","1.3",".","17.3",".",".",".",".","1.3",".",".","."
"","133
003","23","3.789","52.2","26.1","4.3",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"","133
004","24","3.810","58.3","25.0","4.2",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","133
005","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","71","3.852","67.6","18.3","4.2",".",".",".",".","9.9",".",".",".",".",".",".",".","."
"","001
134","19","3.792","47.4","10.5",".","5.3",".",".",".","36.8",".",".",".",".",".",".",".","."
"","134
003","22","3.545","31.8","45.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","134
004","22","3.357","9.1","27.3","27.3",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"","134
005","23","3.688","43.5","13.0","8.7","4.3",".",".",".","13.0","4.3",".",".",".","8.7","4.3",".","."
"Relaxation Tech & Exercise","Course Total","86","3.586","32.6","24.4","15.1","2.3",".",".",".","20.9","1.2",".",".",".","2.3","1.2",".","."
"","138
001","18","3.500","22.2","44.4","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","138
002","13","3.864","69.2","7.7","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","138
003","13","3.722","38.5","23.1","7.7",".",".",".",".","23.1",".",".",".",".","7.7",".",".","."
"","138
004","14","3.688","35.7","7.1","14.3",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Golf I","Course Total","58","3.670","39.7","22.4","13.8",".",".",".",".","22.4",".",".",".",".","1.7",".",".","."
