"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","163","2.811","16.6","6.1","47.9","4.3","16.0","3.7","4.3","0.6",".",".",".",".","0.6",".",".","."
"","002
300","194","2.911","17.5","6.2","50.5","8.2","11.3","1.5","3.6","1.0",".",".",".",".",".",".",".","."
"","300
010","108","2.890","23.1","14.8","32.4","2.8","13.9","4.6","5.6","2.8",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","465","2.871","18.5","8.2","45.4","5.6","13.5","3.0","4.3","1.3",".",".",".",".","0.2",".",".","."
"","305
001","60","3.059","15.0","18.3","45.0","10.0","8.3",".","1.7","1.7",".",".",".",".",".",".",".","."
"","305
002","47","2.851","12.8","14.9","31.9","19.1","19.1",".","2.1",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","107","2.967","14.0","16.8","39.3","14.0","13.1",".","1.9","0.9",".",".",".",".",".",".",".","."
"","365
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
006","14","3.179","14.3","21.4","57.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","48","3.620","64.6","14.6","18.8",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","399
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
217","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","3","***","","","","","","","","","","","","","","","",""
"The Management of Teams","401
001","39","3.295","12.8","41.0","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Change & Org Effectvnss","420
001","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","422
001","36","3.500","25.0","52.8","13.9","5.6",".",".",".","2.8",".",".",".",".",".",".",".","."
"","422
002","34","3.441","35.3","32.4","20.6","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"","003
422","19","3.833","78.9",".","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","Course Total","89","3.546","40.4","33.7","16.9","5.6","1.1",".",".","2.2",".",".",".",".",".",".",".","."
"","423
001","24","3.375","20.8","33.3","45.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","35","3.382","22.9","28.6","45.7",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Strategic Management","Course Total","59","3.379","22.0","30.5","45.8",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Entrepreneur Growth Strategies","427
001","36","3.569","33.3","50.0","13.9","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","22","3.738","54.5","31.8","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Seminar: Organizational Issues","470
001","22","3.425","45.5","4.5","31.8",".","9.1",".",".","4.5",".",".",".",".","4.5",".",".","."
"Intellectual Property Rights","540
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","32","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","24","3.609","37.5","41.7","16.7",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Negotiations","628
001","37","3.851","78.4","16.2","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","704
002","25","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","704
030","57","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","Course Total","82","3.957","91.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","51","3.720","45.1","51.0","2.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","722
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","60","3.754","51.7","45.0","1.7",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Business Strategy","723
001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
001","34","3.676","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","728
002","35","3.714","48.6","45.7","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","Course Total","69","3.696","47.8","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bhv Anal-Mgt Decisn Making","729
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 23, 2011","","","","","","","","","","","","","","","","","","","Page 58 of 403"
