"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"502
Molec & Metabolic Basis of Med","001","","81","3.321","38.3","19.8","24.7","7.4","7.4","2.5",".",".",".",".",".",".",".",".",".","."
"505
Vet Neuroanatomy&Neurophys","001","","81","3.759","72.8","11.1","11.1","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"506
Veterinary Physiology B","001","","81","3.784","65.4","25.9","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Anat-Lrge Domestic Animals","001","","81","3.599","50.6","21.0","25.9","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"555
Veterinary Toxicology","001","","73","3.363","31.5","28.8","23.3","13.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"556
Basic & Clin Vet Therapeutics","001","","73","3.390","20.5","45.2","28.8","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
